"日付","始値","高値","安値","終値","出来高","前日比"
"2009/07/16","573.0","584.0","568.0","569.0","59,695","0.0"
"2009/07/17","574.0","602.0","573.0","601.0","75,297","+32.0"
"2009/07/21","609.0","609.0","600.0","604.0","38,194","+3.0"
"2009/07/22","599.0","632.0","598.0","617.0","145,734","+13.0"
"2009/07/23","625.0","644.0","624.0","630.0","74,969","+13.0"
"2009/07/24","637.0","642.0","615.0","619.0","56,196","-11.0"
"2009/07/27","623.0","629.0","610.0","613.0","35,038","-6.0"
"2009/07/28","618.0","624.0","605.0","605.0","45,016","-8.0"
"2009/07/29","607.0","619.0","603.0","612.0","36,886","+7.0"
"2009/07/30","617.0","619.0","608.0","612.0","21,213","0.0"
"2009/07/31","613.0","613.0","605.0","608.0","38,586","-4.0"
"2009/08/03","608.0","628.0","606.0","622.0","64,077","+14.0"
"2009/08/04","629.0","638.0","622.0","626.0","70,789","+4.0"
"2009/08/05","629.0","629.0","614.0","616.0","28,854","-10.0"
"2009/08/06","614.0","623.0","611.0","622.0","36,114","+6.0"
"2009/08/07","627.0","633.0","614.0","622.0","61,660","0.0"
"2009/08/10","630.0","630.0","617.0","618.0","63,722","-4.0"
"2009/08/11","617.0","617.0","606.0","607.0","65,857","-11.0"
"2009/08/12","603.0","605.0","598.0","602.0","63,402","-5.0"
"2009/08/13","605.0","611.0","598.0","600.0","57,031","-2.0"
"2009/08/14","602.0","605.0","600.0","601.0","31,960","+1.0"
"2009/08/17","600.0","600.0","591.0","596.0","34,620","-5.0"
"2009/08/18","591.0","598.0","588.0","595.0","27,963","-1.0"
"2009/08/19","597.0","604.0","588.0","593.0","59,282","-2.0"
"2009/08/20","593.0","604.0","591.0","603.0","31,891","+10.0"
"2009/08/21","607.0","609.0","595.0","599.0","34,134","-4.0"
"2009/08/24","603.0","604.0","585.0","588.0","67,282","-11.0"
"2009/08/25","587.0","587.0","576.0","580.0","67,567","-8.0"
"2009/08/26","580.0","582.0","574.0","578.0","42,367","-2.0"
"2009/08/27","578.0","587.0","573.0","575.0","61,835","-3.0"
"2009/08/28","575.0","578.0","568.0","570.0","55,112","-5.0"
"2009/08/31","573.0","575.0","553.0","562.0","98,156","-8.0"
"2009/09/01","557.0","583.0","554.0","582.0","88,936","+20.0"
"2009/09/02","577.0","592.0","574.0","590.0","59,342","+8.0"
"2009/09/03","587.0","594.0","572.0","577.0","65,669","-13.0"
"2009/09/04","577.0","581.0","563.0","566.0","54,649","-11.0"
"2009/09/07","563.0","572.0","558.0","560.0","45,600","-6.0"
"2009/09/08","560.0","561.0","555.0","559.0","40,739","-1.0"
"2009/09/09","559.0","570.0","558.0","566.0","63,336","+7.0"
"2009/09/10","567.0","572.0","565.0","569.0","61,660","+3.0"
"2009/09/11","574.0","578.0","569.0","572.0","52,052","+3.0"
"2009/09/14","576.0","578.0","567.0","571.0","26,536","-1.0"
"2009/09/15","568.0","572.0","563.0","570.0","28,704","-1.0"
"2009/09/16","566.0","568.0","560.0","560.0","38,425","-10.0"
"2009/09/17","563.0","566.0","552.0","558.0","41,387","-2.0"
"2009/09/18","558.0","572.0","555.0","572.0","43,932","+14.0"
"2009/09/24","565.0","587.0","564.0","586.0","71,888","+14.0"
"2009/09/25","581.0","583.0","571.0","577.0","29,547","-9.0"
"2009/09/28","567.0","572.0","562.0","566.0","33,421","-11.0"
"2009/09/29","568.0","573.0","566.0","573.0","31,767","+7.0"
"2009/09/30","580.0","599.0","577.0","598.0","85,023","+25.0"
"2009/10/01","593.0","598.0","588.0","594.0","39,281","-4.0"
"2009/10/02","589.0","596.0","586.0","596.0","56,207","+2.0"
"2009/10/05","596.0","601.0","591.0","596.0","54,391","0.0"
"2009/10/06","605.0","622.0","604.0","620.0","146,607","+24.0"
"2009/10/07","624.0","634.0","609.0","627.0","131,103","+7.0"
"2009/10/08","624.0","633.0","613.0","620.0","102,623","-7.0"
"2009/10/09","615.0","630.0","615.0","630.0","46,111","+10.0"
"2009/10/13","627.0","630.0","615.0","617.0","45,598","-13.0"
