"日付","始値","高値","安値","終値","出来高","前日比"
"2012/01/04","730.0","734.0","724.0","730.0","178,600","+9.0"
"2012/01/05","722.0","725.0","710.0","713.0","407,800","-17.0"
"2012/01/06","710.0","725.0","699.0","706.0","413,300","-7.0"
"2012/01/10","708.0","736.0","705.0","736.0","410,300","+30.0"
"2012/01/11","738.0","739.0","718.0","723.0","323,800","-13.0"
"2012/01/12","751.0","795.0","751.0","779.0","1,341,300","+56.0"
"2012/01/13","790.0","790.0","760.0","779.0","448,900","0.0"
"2012/01/16","781.0","783.0","738.0","741.0","453,600","-38.0"
"2012/01/17","749.0","755.0","729.0","733.0","285,000","-8.0"
"2012/01/18","721.0","767.0","719.0","760.0","455,500","+27.0"
"2012/01/19","777.0","832.0","776.0","824.0","1,294,000","+64.0"
"2012/01/20","824.0","826.0","783.0","791.0","764,900","-33.0"
"2012/01/23","819.0","838.0","810.0","833.0","494,700","+42.0"
"2012/01/24","831.0","837.0","811.0","833.0","455,600","0.0"
"2012/01/25","818.0","829.0","808.0","815.0","461,200","-18.0"
"2012/01/26","798.0","799.0","772.0","777.0","609,600","-38.0"
"2012/01/27","770.0","787.0","765.0","777.0","255,200","0.0"
"2012/01/30","783.0","795.0","775.0","790.0","245,800","+13.0"
"2012/01/31","781.0","783.0","771.0","774.0","224,200","-16.0"
"2012/02/01","772.0","783.0","760.0","761.0","277,600","-13.0"
"2012/02/02","761.0","766.0","747.0","763.0","306,700","+2.0"
"2012/02/03","763.0","782.0","763.0","768.0","204,600","+5.0"
"2012/02/06","777.0","781.0","740.0","746.0","492,900","-22.0"
"2012/02/07","750.0","772.0","746.0","757.0","310,200","+11.0"
"2012/02/08","768.0","787.0","762.0","787.0","385,500","+30.0"
"2012/02/09","787.0","828.0","775.0","821.0","682,400","+34.0"
"2012/02/10","849.0","888.0","835.0","873.0","1,459,100","+52.0"
"2012/02/13","843.0","887.0","832.0","869.0","662,500","-4.0"
"2012/02/14","900.0","917.0","861.0","895.0","1,149,400","+26.0"
"2012/02/15","879.0","893.0","865.0","865.0","635,600","-30.0"
"2012/02/16","866.0","886.0","851.0","872.0","421,000","+7.0"
"2012/02/17","888.0","900.0","881.0","890.0","547,700","+18.0"
"2012/02/20","905.0","925.0","897.0","913.0","624,400","+23.0"
"2012/02/21","920.0","955.0","916.0","950.0","650,700","+37.0"
"2012/02/22","944.0","1,015.0","943.0","1,004.0","1,078,500","+54.0"
"2012/02/23","1,014.0","1,018.0","973.0","984.0","870,500","-20.0"
"2012/02/24","980.0","998.0","961.0","980.0","655,600","-4.0"
"2012/02/27","990.0","1,048.0","987.0","1,007.0","1,044,400","+27.0"
"2012/02/28","965.0","1,009.0","935.0","1,009.0","854,500","+2.0"
"2012/02/29","1,005.0","1,047.0","985.0","1,046.0","978,400","+37.0"
"2012/03/01","1,030.0","1,065.0","987.0","987.0","919,500","-59.0"
"2012/03/02","994.0","1,007.0","980.0","987.0","484,400","0.0"
"2012/03/05","980.0","985.0","945.0","947.0","734,500","-40.0"
"2012/03/06","938.0","971.0","922.0","923.0","632,300","-24.0"
"2012/03/07","910.0","943.0","903.0","934.0","547,500","+11.0"
"2012/03/08","955.0","968.0","941.0","960.0","357,500","+26.0"
"2012/03/09","950.0","973.0","945.0","950.0","378,700","-10.0"
"2012/03/12","971.0","971.0","934.0","936.0","317,300","-14.0"
"2012/03/13","921.0","927.0","880.0","884.0","918,900","-52.0"
"2012/03/14","900.0","907.0","874.0","879.0","669,300","-5.0"
"2012/03/15","879.0","884.0","852.0","872.0","514,100","-7.0"
"2012/03/16","880.0","884.0","875.0","878.0","311,800","+6.0"
"2012/03/19","881.0","916.0","881.0","911.0","378,700","+33.0"
"2012/03/21","911.0","911.0","875.0","876.0","451,200","-35.0"
"2012/03/22","870.0","898.0","869.0","884.0","305,500","+8.0"
"2012/03/23","880.0","880.0","866.0","871.0","189,400","-13.0"
"2012/03/26","882.0","892.0","867.0","872.0","221,300","+1.0"
"2012/03/27","879.0","890.0","875.0","890.0","226,300","+18.0"
"2012/03/28","887.0","900.0","877.0","881.0","207,500","-9.0"
"2012/03/29","874.0","879.0","855.0","856.0","275,100","-25.0"
"2012/03/30","852.0","861.0","838.0","856.0","312,600","0.0"
"2012/04/02","856.0","866.0","821.0","828.0","440,900","-28.0"
"2012/04/03","816.0","817.0","760.0","768.0","1,183,800","-60.0"
"2012/04/04","769.0","777.0","737.0","744.0","697,600","-24.0"
"2012/04/05","745.0","775.0","723.0","772.0","591,400","+28.0"
"2012/04/06","750.0","769.0","730.0","732.0","534,600","-40.0"
"2012/04/09","730.0","745.0","727.0","736.0","264,800","+4.0"
"2012/04/10","737.0","753.0","730.0","731.0","284,200","-5.0"
"2012/04/11","719.0","748.0","711.0","745.0","340,100","+14.0"
"2012/04/12","760.0","769.0","746.0","768.0","349,600","+23.0"
"2012/04/13","766.0","768.0","743.0","743.0","282,600","-25.0"
"2012/04/16","740.0","740.0","722.0","723.0","170,600","-20.0"
"2012/04/17","722.0","741.0","719.0","721.0","200,400","-2.0"
"2012/04/18","729.0","746.0","725.0","745.0","206,600","+24.0"
"2012/04/19","748.0","766.0","739.0","754.0","318,100","+9.0"
"2012/04/20","760.0","768.0","752.0","764.0","226,500","+10.0"
"2012/04/23","791.0","838.0","771.0","771.0","868,900","+7.0"
"2012/04/24","766.0","802.0","765.0","776.0","428,800","+5.0"
"2012/04/25","783.0","783.0","768.0","777.0","176,200","+1.0"
"2012/04/26","785.0","816.0","785.0","808.0","587,400","+31.0"
"2012/04/27","806.0","811.0","789.0","789.0","365,600","-19.0"
"2012/05/01","777.0","778.0","732.0","733.0","424,300","-56.0"
"2012/05/02","744.0","754.0","737.0","750.0","116,300","+17.0"
"2012/05/07","733.0","740.0","706.0","710.0","268,500","-40.0"
"2012/05/08","720.0","735.0","716.0","734.0","138,100","+24.0"
"2012/05/09","720.0","725.0","709.0","712.0","168,500","-22.0"
"2012/05/10","708.0","743.0","707.0","727.0","164,900","+15.0"
"2012/05/11","727.0","734.0","702.0","703.0","177,400","-24.0"
"2012/05/14","668.0","684.0","652.0","655.0","348,300","-48.0"
"2012/05/15","653.0","653.0","616.0","643.0","278,200","-12.0"
"2012/05/16","640.0","641.0","617.0","617.0","217,400","-26.0"
"2012/05/17","619.0","645.0","619.0","631.0","164,500","+14.0"
"2012/05/18","610.0","616.0","604.0","607.0","301,500","-24.0"
"2012/05/21","507.0","507.0","507.0","507.0","72,800","-100.0"
"2012/05/22","492.0","538.0","473.0","486.0","2,008,500","-21.0"
"2012/05/23","502.0","505.0","490.0","493.0","420,200","+7.0"
"2012/05/24","485.0","497.0","477.0","477.0","346,300","-16.0"
"2012/05/25","478.0","486.0","444.0","458.0","493,500","-19.0"
"2012/05/28","446.0","446.0","403.0","417.0","1,185,300","-41.0"
"2012/05/29","420.0","438.0","403.0","428.0","557,000","+11.0"
"2012/05/30","431.0","433.0","409.0","415.0","482,800","-13.0"
"2012/05/31","401.0","422.0","396.0","415.0","277,900","0.0"
"2012/06/01","418.0","418.0","385.0","385.0","545,300","-30.0"
"2012/06/04","365.0","390.0","365.0","377.0","450,100","-8.0"
"2012/06/05","383.0","415.0","383.0","409.0","696,400","+32.0"
"2012/06/06","415.0","436.0","412.0","433.0","614,500","+24.0"
"2012/06/07","450.0","453.0","433.0","433.0","498,600","0.0"
"2012/06/08","433.0","435.0","411.0","425.0","336,100","-8.0"
"2012/06/11","440.0","458.0","436.0","447.0","419,100","+22.0"
"2012/06/12","431.0","431.0","418.0","423.0","471,300","-24.0"
"2012/06/13","430.0","435.0","418.0","418.0","349,800","-5.0"
"2012/06/14","414.0","418.0","405.0","408.0","304,200","-10.0"
"2012/06/15","416.0","421.0","408.0","410.0","299,900","+2.0"
"2012/06/18","421.0","447.0","421.0","440.0","479,600","+30.0"
"2012/06/19","435.0","487.0","429.0","458.0","943,700","+18.0"
