"日付","始値","高値","安値","終値","出来高","前日比"
"2009/07/16","918.0","922.0","886.0","888.0","4,821,000","0.0"
"2009/07/17","890.0","900.0","886.0","886.0","2,733,000","-2.0"
"2009/07/21","886.0","888.0","858.0","868.0","8,042,000","-18.0"
"2009/07/22","878.0","894.0","876.0","886.0","3,321,000","+18.0"
"2009/07/23","890.0","894.0","876.0","876.0","2,480,000","-10.0"
"2009/07/24","886.0","906.0","884.0","902.0","3,362,000","+26.0"
"2009/07/27","912.0","922.0","904.0","908.0","2,824,000","+6.0"
"2009/07/28","910.0","924.0","908.0","920.0","2,318,000","+12.0"
"2009/07/29","926.0","934.0","922.0","932.0","2,374,000","+12.0"
"2009/07/30","932.0","932.0","916.0","916.0","1,740,000","-16.0"
"2009/07/31","926.0","930.0","918.0","928.0","2,513,000","+12.0"
"2009/08/03","930.0","934.0","926.0","932.0","1,342,000","+4.0"
"2009/08/04","940.0","954.0","940.0","950.0","2,097,000","+18.0"
"2009/08/05","958.0","972.0","958.0","962.0","2,847,000","+12.0"
"2009/08/06","960.0","962.0","946.0","952.0","1,735,000","-10.0"
"2009/08/07","952.0","952.0","934.0","948.0","1,861,000","-4.0"
"2009/08/10","950.0","952.0","924.0","940.0","4,590,000","-8.0"
"2009/08/11","938.0","948.0","934.0","944.0","1,827,000","+4.0"
"2009/08/12","934.0","942.0","918.0","922.0","3,468,000","-22.0"
"2009/08/13","928.0","938.0","918.0","928.0","2,765,000","+6.0"
"2009/08/14","932.0","932.0","922.0","924.0","2,019,000","-4.0"
"2009/08/17","922.0","922.0","900.0","902.0","2,332,000","-22.0"
"2009/08/18","900.0","912.0","900.0","906.0","2,039,000","+4.0"
"2009/08/19","904.0","906.0","888.0","890.0","2,296,000","-16.0"
"2009/08/20","894.0","914.0","888.0","910.0","1,679,000","+20.0"
"2009/08/21","912.0","924.0","900.0","912.0","2,296,000","+2.0"
"2009/08/24","918.0","936.0","916.0","926.0","2,042,000","+14.0"
"2009/08/25","920.0","924.0","906.0","912.0","2,208,000","-14.0"
"2009/08/26","912.0","934.0","912.0","930.0","1,741,000","+18.0"
"2009/08/27","924.0","928.0","908.0","916.0","1,654,000","-14.0"
"2009/08/28","918.0","924.0","914.0","924.0","1,341,000","+8.0"
"2009/08/31","914.0","940.0","908.0","914.0","3,252,000","-10.0"
"2009/09/01","912.0","926.0","910.0","916.0","1,649,000","+2.0"
"2009/09/02","908.0","910.0","894.0","902.0","2,699,000","-14.0"
"2009/09/03","898.0","898.0","892.0","892.0","1,797,000","-10.0"
"2009/09/04","898.0","898.0","880.0","886.0","2,475,000","-6.0"
"2009/09/07","890.0","894.0","888.0","890.0","962,000","+4.0"
"2009/09/08","896.0","900.0","896.0","896.0","1,588,000","+6.0"
"2009/09/09","898.0","904.0","892.0","900.0","1,485,000","+4.0"
"2009/09/10","914.0","930.0","912.0","926.0","2,416,000","+26.0"
"2009/09/11","928.0","928.0","900.0","904.0","5,517,000","-22.0"
"2009/09/14","904.0","910.0","888.0","892.0","2,343,000","-12.0"
"2009/09/15","896.0","896.0","882.0","882.0","2,753,000","-10.0"
"2009/09/16","886.0","892.0","878.0","878.0","1,887,000","-4.0"
"2009/09/17","886.0","888.0","880.0","884.0","1,965,000","+6.0"
"2009/09/18","894.0","904.0","890.0","898.0","3,755,000","+14.0"
"2009/09/24","896.0","900.0","872.0","882.0","7,570,000","-16.0"
"2009/09/25","872.0","880.0","854.0","872.0","3,355,000","-10.0"
"2009/09/28","852.0","860.0","846.0","850.0","2,976,000","-22.0"
"2009/09/29","856.0","856.0","846.0","846.0","2,616,000","-4.0"
"2009/09/30","848.0","862.0","846.0","860.0","3,277,000","+14.0"
"2009/10/01","860.0","866.0","850.0","852.0","1,528,000","-8.0"
"2009/10/02","834.0","840.0","826.0","828.0","3,386,000","-24.0"
"2009/10/05","826.0","828.0","804.0","810.0","4,090,000","-18.0"
"2009/10/06","810.0","812.0","784.0","800.0","4,580,000","-10.0"
"2009/10/07","804.0","804.0","790.0","796.0","3,996,000","-4.0"
"2009/10/08","802.0","812.0","798.0","800.0","3,295,000","+4.0"
"2009/10/09","808.0","816.0","802.0","814.0","3,670,000","+14.0"
"2009/10/13","824.0","824.0","808.0","808.0","3,448,000","-6.0"
"2009/10/14","814.0","822.0","806.0","812.0","3,439,000","+4.0"
"2009/10/15","814.0","820.0","812.0","818.0","2,973,000","+6.0"
"2009/10/16","818.0","820.0","800.0","804.0","3,963,000","-14.0"
"2009/10/19","800.0","802.0","790.0","796.0","3,362,000","-8.0"
"2009/10/20","800.0","814.0","798.0","814.0","2,862,000","+18.0"
"2009/10/21","810.0","822.0","808.0","812.0","3,131,000","-2.0"
"2009/10/22","808.0","810.0","792.0","800.0","2,750,000","-12.0"
"2009/10/23","804.0","824.0","792.0","796.0","5,131,000","-4.0"
"2009/10/26","792.0","808.0","790.0","802.0","4,103,000","+6.0"
"2009/10/27","798.0","802.0","790.0","796.0","3,068,000","-6.0"
"2009/10/28","796.0","800.0","790.0","792.0","2,121,000","-4.0"
"2009/10/29","790.0","792.0","776.0","776.0","3,234,000","-16.0"
"2009/10/30","796.0","798.0","788.0","796.0","2,990,000","+20.0"
"2009/11/02","782.0","786.0","772.0","782.0","2,595,000","-14.0"
"2009/11/04","784.0","786.0","774.0","786.0","2,745,000","+4.0"
"2009/11/05","780.0","782.0","770.0","770.0","2,452,000","-16.0"
"2009/11/06","774.0","776.0","760.0","760.0","2,738,000","-10.0"
"2009/11/09","760.0","762.0","744.0","748.0","3,636,000","-12.0"
"2009/11/10","758.0","768.0","748.0","760.0","4,640,000","+12.0"
"2009/11/11","752.0","760.0","744.0","748.0","3,230,000","-12.0"
"2009/11/12","748.0","750.0","734.0","738.0","3,180,000","-10.0"
"2009/11/13","738.0","760.0","738.0","758.0","4,000,000","+20.0"
"2009/11/16","758.0","778.0","754.0","776.0","4,002,000","+18.0"
"2009/11/17","778.0","784.0","774.0","782.0","4,624,000","+6.0"
"2009/11/18","776.0","788.0","764.0","768.0","4,102,000","-14.0"
"2009/11/19","772.0","772.0","740.0","750.0","3,961,000","-18.0"
"2009/11/20","740.0","758.0","740.0","758.0","3,273,000","+8.0"
"2009/11/24","760.0","762.0","746.0","754.0","2,805,000","-4.0"
"2009/11/25","750.0","754.0","736.0","738.0","3,644,000","-16.0"
"2009/11/26","736.0","740.0","732.0","732.0","2,836,000","-6.0"
"2009/11/27","732.0","740.0","730.0","732.0","2,941,000","0.0"
"2009/11/30","736.0","758.0","732.0","758.0","3,258,000","+26.0"
"2009/12/01","748.0","768.0","742.0","768.0","3,997,000","+10.0"
"2009/12/02","750.0","760.0","744.0","748.0","3,829,000","-20.0"
"2009/12/03","750.0","778.0","750.0","778.0","3,033,000","+30.0"
"2009/12/04","786.0","786.0","770.0","776.0","2,961,000","-2.0"
"2009/12/07","794.0","806.0","790.0","804.0","4,096,000","+28.0"
"2009/12/08","794.0","810.0","780.0","784.0","3,265,000","-20.0"
"2009/12/09","780.0","780.0","770.0","772.0","2,157,000","-12.0"
"2009/12/10","774.0","776.0","756.0","764.0","2,309,000","-8.0"
"2009/12/11","770.0","782.0","764.0","782.0","5,039,000","+18.0"
"2009/12/14","774.0","776.0","756.0","762.0","3,089,000","-20.0"
