"日付","始値","高値","安値","終値","出来高","前日比"
"2010/01/04","748.0","752.0","744.0","750.0","1,026,000","+10.0"
"2010/01/05","756.0","758.0","748.0","754.0","2,413,000","+4.0"
"2010/01/06","756.0","774.0","746.0","766.0","5,326,000","+12.0"
"2010/01/07","770.0","788.0","768.0","784.0","3,128,000","+18.0"
"2010/01/08","788.0","796.0","778.0","790.0","4,280,000","+6.0"
"2010/01/12","764.0","778.0","762.0","774.0","5,570,000","-16.0"
"2010/01/13","770.0","782.0","764.0","772.0","5,183,000","-2.0"
"2010/01/14","778.0","782.0","772.0","774.0","3,355,000","+2.0"
"2010/01/15","770.0","784.0","766.0","782.0","5,483,000","+8.0"
"2010/01/18","776.0","780.0","760.0","766.0","5,019,000","-16.0"
"2010/01/19","762.0","766.0","756.0","760.0","2,832,000","-6.0"
"2010/01/20","768.0","772.0","760.0","762.0","2,722,000","+2.0"
"2010/01/21","760.0","768.0","758.0","766.0","3,893,000","+4.0"
"2010/01/22","760.0","760.0","748.0","756.0","4,635,000","-10.0"
"2010/01/25","752.0","760.0","748.0","748.0","4,229,000","-8.0"
"2010/01/26","748.0","750.0","742.0","742.0","3,638,000","-6.0"
"2010/01/27","746.0","748.0","738.0","738.0","3,594,000","-4.0"
"2010/01/28","740.0","744.0","734.0","742.0","2,686,000","+4.0"
"2010/01/29","742.0","742.0","732.0","732.0","2,264,000","-10.0"
"2010/02/01","732.0","742.0","724.0","738.0","4,694,000","+6.0"
"2010/02/02","740.0","744.0","738.0","744.0","2,187,000","+6.0"
"2010/02/03","746.0","758.0","746.0","754.0","3,065,000","+10.0"
"2010/02/04","756.0","764.0","756.0","764.0","4,048,000","+10.0"
"2010/02/05","750.0","756.0","740.0","740.0","3,310,000","-24.0"
"2010/02/08","742.0","744.0","736.0","742.0","2,290,000","+2.0"
"2010/02/09","740.0","742.0","728.0","728.0","3,685,000","-14.0"
"2010/02/10","732.0","734.0","728.0","728.0","1,776,000","0.0"
"2010/02/12","732.0","732.0","724.0","726.0","3,913,000","-2.0"
"2010/02/15","726.0","730.0","720.0","724.0","3,446,000","-2.0"
"2010/02/16","724.0","738.0","724.0","730.0","3,353,000","+6.0"
"2010/02/17","738.0","744.0","734.0","740.0","2,484,000","+10.0"
"2010/02/18","744.0","746.0","740.0","742.0","1,467,000","+2.0"
"2010/02/19","742.0","746.0","726.0","726.0","2,145,000","-16.0"
"2010/02/22","736.0","754.0","734.0","746.0","3,825,000","+20.0"
"2010/02/23","742.0","752.0","740.0","750.0","2,056,000","+4.0"
"2010/02/24","744.0","750.0","738.0","748.0","2,636,000","-2.0"
"2010/02/25","750.0","752.0","742.0","748.0","1,670,000","0.0"
"2010/02/26","746.0","756.0","746.0","754.0","2,494,000","+6.0"
"2010/03/01","756.0","762.0","750.0","762.0","2,062,000","+8.0"
"2010/03/02","760.0","762.0","754.0","758.0","1,510,000","-4.0"
"2010/03/03","756.0","764.0","754.0","760.0","1,665,000","+2.0"
"2010/03/04","760.0","760.0","746.0","746.0","2,189,000","-14.0"
"2010/03/05","754.0","764.0","752.0","762.0","1,600,000","+16.0"
"2010/03/08","768.0","770.0","764.0","770.0","1,882,000","+8.0"
"2010/03/09","768.0","768.0","756.0","762.0","2,133,000","-8.0"
"2010/03/10","766.0","766.0","760.0","764.0","2,034,000","+2.0"
"2010/03/11","766.0","776.0","764.0","772.0","2,738,000","+8.0"
"2010/03/12","778.0","778.0","766.0","772.0","5,681,000","0.0"
"2010/03/15","776.0","780.0","774.0","778.0","941,000","+6.0"
"2010/03/16","780.0","796.0","778.0","792.0","5,233,000","+14.0"
"2010/03/17","782.0","786.0","776.0","780.0","5,122,000","-12.0"
"2010/03/18","780.0","780.0","768.0","772.0","2,781,000","-8.0"
"2010/03/19","774.0","776.0","766.0","774.0","2,410,000","+2.0"
"2010/03/23","776.0","778.0","772.0","776.0","1,726,000","+2.0"
"2010/03/24","776.0","778.0","768.0","774.0","2,394,000","-2.0"
"2010/03/25","774.0","774.0","756.0","758.0","5,062,000","-16.0"
"2010/03/26","760.0","764.0","756.0","764.0","5,212,000","+6.0"
"2010/03/29","752.0","760.0","750.0","758.0","2,309,000","-6.0"
"2010/03/30","760.0","778.0","760.0","776.0","3,013,000","+18.0"
"2010/03/31","778.0","786.0","774.0","782.0","3,372,000","+6.0"
"2010/04/01","784.0","784.0","774.0","780.0","3,899,000","-2.0"
"2010/04/02","784.0","786.0","778.0","782.0","2,024,000","+2.0"
"2010/04/05","782.0","792.0","782.0","788.0","2,872,000","+6.0"
"2010/04/06","790.0","794.0","788.0","794.0","2,518,000","+6.0"
"2010/04/07","796.0","810.0","792.0","810.0","4,894,000","+16.0"
"2010/04/08","806.0","812.0","800.0","802.0","2,787,000","-8.0"
"2010/04/09","798.0","808.0","798.0","800.0","4,361,000","-2.0"
"2010/04/12","810.0","810.0","804.0","804.0","1,377,000","+4.0"
"2010/04/13","804.0","806.0","800.0","804.0","1,677,000","0.0"
"2010/04/14","806.0","810.0","798.0","800.0","2,075,000","-4.0"
"2010/04/15","800.0","802.0","796.0","800.0","1,582,000","0.0"
"2010/04/16","798.0","800.0","790.0","794.0","2,508,000","-6.0"
"2010/04/19","786.0","790.0","774.0","780.0","3,761,000","-14.0"
"2010/04/20","780.0","792.0","780.0","790.0","1,886,000","+10.0"
