"日付","始値","高値","安値","終値","出来高","前日比"
"2012/01/04","766.0","774.0","762.0","770.0","2,059,000","+12.0"
"2012/01/05","768.0","768.0","758.0","760.0","1,262,000","-10.0"
"2012/01/06","758.0","760.0","752.0","760.0","1,490,000","0.0"
"2012/01/10","768.0","768.0","756.0","764.0","1,067,000","+4.0"
"2012/01/11","760.0","764.0","754.0","760.0","2,183,000","-4.0"
"2012/01/12","756.0","758.0","748.0","748.0","2,117,000","-12.0"
"2012/01/13","754.0","758.0","750.0","756.0","2,538,000","+8.0"
"2012/01/16","754.0","756.0","746.0","752.0","1,643,000","-4.0"
"2012/01/17","750.0","752.0","746.0","750.0","2,182,000","-2.0"
"2012/01/18","750.0","762.0","746.0","754.0","2,457,000","+4.0"
"2012/01/19","756.0","756.0","738.0","742.0","3,210,000","-12.0"
"2012/01/20","744.0","744.0","736.0","738.0","2,725,000","-4.0"
"2012/01/23","740.0","740.0","736.0","740.0","1,523,000","+2.0"
"2012/01/24","740.0","746.0","736.0","744.0","1,725,000","+4.0"
"2012/01/25","746.0","748.0","744.0","744.0","1,352,000","0.0"
"2012/01/26","744.0","746.0","742.0","746.0","1,283,000","+2.0"
"2012/01/27","740.0","746.0","736.0","738.0","3,871,000","-8.0"
"2012/01/30","740.0","750.0","740.0","746.0","2,644,000","+8.0"
"2012/01/31","746.0","750.0","744.0","750.0","2,809,000","+4.0"
"2012/02/01","750.0","756.0","746.0","754.0","2,900,000","+4.0"
"2012/02/02","756.0","758.0","750.0","754.0","1,779,000","0.0"
"2012/02/03","754.0","758.0","750.0","752.0","2,955,000","-2.0"
"2012/02/06","758.0","758.0","752.0","752.0","2,533,000","0.0"
"2012/02/07","758.0","760.0","752.0","754.0","3,043,000","+2.0"
"2012/02/08","756.0","758.0","754.0","756.0","2,666,000","+2.0"
"2012/02/09","756.0","762.0","754.0","760.0","3,521,000","+4.0"
"2012/02/10","766.0","768.0","760.0","760.0","2,356,000","0.0"
"2012/02/13","766.0","774.0","764.0","768.0","2,343,000","+8.0"
"2012/02/14","770.0","782.0","770.0","778.0","3,310,000","+10.0"
"2012/02/15","776.0","780.0","768.0","772.0","3,671,000","-6.0"
"2012/02/16","766.0","768.0","756.0","758.0","4,199,000","-14.0"
"2012/02/17","772.0","772.0","762.0","768.0","2,922,000","+10.0"
"2012/02/20","770.0","778.0","770.0","772.0","2,221,000","+4.0"
"2012/02/21","774.0","774.0","762.0","768.0","2,331,000","-4.0"
"2012/02/22","770.0","780.0","768.0","780.0","3,145,000","+12.0"
"2012/02/23","780.0","790.0","776.0","788.0","4,128,000","+8.0"
"2012/02/24","786.0","786.0","776.0","780.0","3,657,000","-8.0"
"2012/02/27","776.0","780.0","772.0","776.0","3,676,000","-4.0"
"2012/02/28","776.0","784.0","774.0","782.0","3,050,000","+6.0"
"2012/02/29","786.0","792.0","782.0","782.0","3,117,000","0.0"
"2012/03/01","788.0","794.0","782.0","786.0","3,353,000","+4.0"
"2012/03/02","792.0","820.0","788.0","816.0","7,831,000","+30.0"
"2012/03/05","814.0","826.0","810.0","814.0","3,847,000","-2.0"
"2012/03/06","814.0","820.0","808.0","814.0","4,052,000","0.0"
"2012/03/07","808.0","814.0","806.0","808.0","2,171,000","-6.0"
"2012/03/08","812.0","822.0","812.0","822.0","4,112,000","+14.0"
"2012/03/09","828.0","830.0","818.0","826.0","6,904,000","+4.0"
"2012/03/12","828.0","828.0","814.0","814.0","2,525,000","-12.0"
"2012/03/13","820.0","836.0","816.0","824.0","7,423,000","+10.0"
"2012/03/14","834.0","834.0","820.0","820.0","2,838,000","-4.0"
"2012/03/15","818.0","824.0","810.0","812.0","4,521,000","-8.0"
"2012/03/16","814.0","820.0","808.0","810.0","3,027,000","-2.0"
"2012/03/19","812.0","814.0","808.0","808.0","1,843,000","-2.0"
"2012/03/21","810.0","812.0","802.0","804.0","3,864,000","-4.0"
"2012/03/22","806.0","816.0","806.0","816.0","3,419,000","+12.0"
"2012/03/23","816.0","822.0","812.0","814.0","4,667,000","-2.0"
"2012/03/26","816.0","818.0","810.0","810.0","3,069,000","-4.0"
"2012/03/27","808.0","816.0","806.0","814.0","8,090,000","+4.0"
"2012/03/28","800.0","800.0","780.0","796.0","7,260,000","-18.0"
"2012/03/29","782.0","786.0","776.0","780.0","4,470,000","-16.0"
"2012/03/30","782.0","792.0","782.0","786.0","5,050,000","+6.0"
"2012/04/02","792.0","792.0","770.0","770.0","3,884,000","-16.0"
