"日付","始値","高値","安値","終値","出来高","前日比"
"2015/01/05","2,410.0","2,442.5","2,362.5","2,400.0","37,500","+12.5"
"2015/01/06","2,317.5","2,327.5","2,250.0","2,255.0","45,000","-145.0"
"2015/01/07","2,287.5","2,605.0","2,260.0","2,605.0","147,000","+350.0"
"2015/01/08","2,555.0","2,575.0","2,375.0","2,390.0","142,600","-215.0"
"2015/01/09","2,425.0","2,487.5","2,290.0","2,325.0","82,600","-65.0"
"2015/01/13","2,305.0","2,375.0","2,260.0","2,325.0","40,200","0.0"
"2015/01/14","2,312.5","2,370.0","2,267.5","2,312.5","38,800","-12.5"
"2015/01/15","2,300.0","2,377.5","2,300.0","2,355.0","36,700","+42.5"
"2015/01/16","2,320.0","2,482.5","2,310.0","2,462.5","83,600","+107.5"
"2015/01/19","2,497.5","2,575.0","2,417.5","2,550.0","84,600","+87.5"
"2015/01/20","2,575.0","2,675.0","2,520.0","2,565.0","99,700","+15.0"
"2015/01/21","2,525.0","2,560.0","2,477.5","2,500.0","34,100","-65.0"
"2015/01/22","2,505.0","2,510.0","2,430.0","2,460.0","28,800","-40.0"
"2015/01/23","2,462.5","2,477.5","2,402.5","2,405.0","55,000","-55.0"
"2015/01/26","2,400.0","2,470.0","2,400.0","2,435.0","37,700","+30.0"
"2015/01/27","2,437.5","2,470.0","2,410.0","2,470.0","33,700","+35.0"
"2015/01/28","2,470.0","2,645.0","2,467.5","2,600.0","94,500","+130.0"
"2015/01/29","2,560.0","2,620.0","2,475.0","2,475.0","76,900","-125.0"
"2015/01/30","2,475.0","2,477.5","2,350.0","2,375.0","109,800","-100.0"
"2015/02/02","2,350.0","2,395.0","2,260.0","2,345.0","53,100","-30.0"
"2015/02/03","2,310.0","2,367.5","2,192.5","2,215.0","76,400","-130.0"
"2015/02/04","2,217.5","2,290.0","2,217.5","2,240.0","35,400","+25.0"
"2015/02/05","2,235.0","2,360.0","2,225.0","2,335.0","56,000","+95.0"
"2015/02/06","2,307.5","2,380.0","2,240.0","2,292.5","47,000","-42.5"
"2015/02/09","2,327.5","2,392.5","2,272.5","2,365.0","41,200","+72.5"
"2015/02/10","2,315.0","2,357.5","2,285.0","2,345.0","38,500","-20.0"
"2015/02/12","2,375.0","2,402.5","2,332.5","2,337.5","48,000","-7.5"
"2015/02/13","2,357.5","2,372.5","2,225.0","2,265.0","58,400","-72.5"
"2015/02/16","1,915.0","2,125.0","1,915.0","2,082.5","292,300","-182.5"
"2015/02/17","2,070.0","2,195.0","2,030.0","2,177.5","78,100","+95.0"
"2015/02/18","2,155.0","2,272.5","2,155.0","2,235.0","54,400","+57.5"
"2015/02/19","2,130.0","2,212.5","2,110.0","2,110.0","88,500","-125.0"
"2015/02/20","2,137.5","2,162.5","2,085.0","2,105.0","45,600","-5.0"
"2015/02/23","2,012.5","2,075.0","1,967.5","1,995.0","130,700","-110.0"
"2015/02/24","1,925.0","1,957.5","1,900.0","1,930.0","116,700","-65.0"
"2015/02/25","1,965.0","1,995.0","1,937.5","1,970.0","51,100","+40.0"
"2015/02/26","1,952.5","1,965.0","1,937.5","1,940.0","31,900","-30.0"
"2015/02/27","1,945.0","1,957.5","1,930.0","1,942.5","36,300","+2.5"
"2015/03/02","2,045.0","2,045.0","2,000.0","2,017.5","49,500","+75.0"
"2015/03/03","2,040.0","2,060.0","1,955.0","2,020.0","60,400","+2.5"
"2015/03/04","2,022.5","2,037.5","1,960.0","1,990.0","43,500","-30.0"
"2015/03/05","1,980.0","2,015.0","1,977.5","2,000.0","14,500","+10.0"
"2015/03/06","2,005.0","2,010.0","1,965.0","1,972.5","27,500","-27.5"
"2015/03/09","1,955.0","1,967.5","1,900.0","1,900.0","97,600","-72.5"
"2015/03/10","1,907.5","1,950.0","1,907.5","1,922.5","30,600","+22.5"
"2015/03/11","1,900.0","1,905.0","1,852.5","1,860.0","62,400","-62.5"
"2015/03/12","1,872.5","1,897.5","1,860.0","1,860.0","54,900","0.0"
"2015/03/13","1,892.5","1,965.0","1,887.5","1,960.0","91,600","+100.0"
"2015/03/16","1,977.5","2,030.0","1,880.0","1,930.0","129,900","-30.0"
"2015/03/17","1,940.0","1,940.0","1,887.5","1,915.0","56,800","-15.0"
"2015/03/18","1,880.0","1,890.0","1,807.5","1,820.0","97,600","-95.0"
"2015/03/19","1,817.5","1,817.5","1,727.5","1,740.0","77,400","-80.0"
"2015/03/20","1,705.0","1,790.0","1,685.0","1,782.5","65,000","+42.5"
"2015/03/23","1,825.0","1,825.0","1,767.5","1,770.0","30,400","-12.5"
"2015/03/24","1,800.0","1,810.0","1,775.0","1,807.5","21,700","+37.5"
"2015/03/25","1,822.5","1,822.5","1,785.0","1,807.5","17,100","0.0"
"2015/03/26","1,787.5","1,792.5","1,720.0","1,725.0","28,700","-82.5"
"2015/03/27","1,725.0","1,772.5","1,725.0","1,735.0","13,300","+10.0"
"2015/03/30","1,735.0","1,750.0","1,727.5","1,732.5","7,300","-2.5"
"2015/03/31","1,735.0","1,785.0","1,720.0","1,782.5","17,000","+50.0"
"2015/04/01","1,775.0","1,775.0","1,732.5","1,737.5","12,700","-45.0"
"2015/04/02","1,742.5","1,760.0","1,737.5","1,745.0","7,800","+7.5"
"2015/04/03","1,750.0","1,750.0","1,700.0","1,702.5","27,700","-42.5"
"2015/04/06","1,697.5","1,815.0","1,697.5","1,805.0","34,600","+102.5"
