"日付","始値","高値","安値","終値","出来高","前日比"
"2018/05/31","1,645.0","2,044.0","1,639.0","1,999.0","15,242,400","0.0"
"2018/06/01","2,118.0","2,230.0","2,050.0","2,222.0","6,264,000","+223.0"
"2018/06/04","2,216.0","2,216.0","2,065.0","2,065.0","1,455,700","-157.0"
"2018/06/05","2,015.0","2,250.0","1,895.0","2,230.0","3,437,800","+165.0"
"2018/06/06","2,250.0","2,266.0","2,036.0","2,063.0","1,115,900","-167.0"
"2018/06/07","2,113.0","2,236.0","2,081.0","2,104.0","1,178,500","+41.0"
"2018/06/08","2,120.0","2,133.0","1,990.0","2,044.0","675,800","-60.0"
"2018/06/11","2,050.0","2,079.0","2,004.0","2,055.0","185,000","+11.0"
"2018/06/12","2,045.0","2,079.0","2,016.0","2,073.0","149,400","+18.0"
"2018/06/13","2,085.0","2,135.0","2,076.0","2,112.0","309,800","+39.0"
"2018/06/14","2,135.0","2,434.0","2,119.0","2,303.0","1,586,900","+191.0"
"2018/06/15","2,399.0","2,530.0","2,369.0","2,502.0","1,546,100","+199.0"
"2018/06/18","2,552.0","2,855.0","2,525.0","2,851.0","1,983,100","+349.0"
"2018/06/19","2,734.0","2,937.0","2,665.0","2,846.0","2,074,000","-5.0"
"2018/06/20","2,963.0","3,100.0","2,867.0","2,895.0","1,778,600","+49.0"
"2018/06/21","2,920.0","2,970.0","2,700.0","2,710.0","840,300","-185.0"
"2018/06/22","2,596.0","2,790.0","2,556.0","2,790.0","467,800","+80.0"
"2018/06/25","2,750.0","2,785.0","2,460.0","2,506.0","312,100","-284.0"
"2018/06/26","2,384.0","2,574.0","2,306.0","2,512.0","585,700","+6.0"
"2018/06/27","2,481.0","2,490.0","2,300.0","2,300.0","295,500","-212.0"
"2018/06/28","2,300.0","2,380.0","2,160.0","2,200.0","373,500","-100.0"
"2018/06/29","2,225.0","2,548.0","2,225.0","2,447.0","680,900","+247.0"
"2018/07/02","2,472.0","2,679.0","2,472.0","2,613.0","664,000","+166.0"
"2018/07/03","2,690.0","2,690.0","2,480.0","2,555.0","335,200","-58.0"
"2018/07/04","2,655.0","2,870.0","2,577.0","2,805.0","1,254,400","+250.0"
"2018/07/05","2,835.0","2,870.0","2,600.0","2,749.0","542,300","-56.0"
"2018/07/06","2,790.0","2,815.0","2,583.0","2,645.0","332,100","-104.0"
"2018/07/09","2,648.0","2,845.0","2,648.0","2,741.0","339,800","+96.0"
"2018/07/10","2,785.0","2,939.0","2,725.0","2,738.0","425,900","-3.0"
"2018/07/11","2,741.0","3,095.0","2,625.0","3,040.0","999,300","+302.0"
"2018/07/12","3,065.0","3,070.0","2,891.0","2,950.0","519,200","-90.0"
"2018/07/13","2,998.0","3,075.0","2,786.0","2,850.0","558,700","-100.0"
"2018/07/17","3,095.0","3,100.0","2,736.0","2,766.0","626,200","-84.0"
"2018/07/18","2,799.0","2,927.0","2,795.0","2,814.0","412,600","+48.0"
"2018/07/19","2,820.0","2,835.0","2,660.0","2,660.0","460,500","-154.0"
"2018/07/20","2,660.0","2,760.0","2,588.0","2,736.0","310,300","+76.0"
"2018/07/23","2,800.0","2,980.0","2,790.0","2,980.0","706,900","+244.0"
"2018/07/24","2,970.0","2,980.0","2,815.0","2,863.0","288,700","-117.0"
"2018/07/25","2,840.0","2,859.0","2,791.0","2,857.0","95,000","-6.0"
"2018/07/26","2,857.0","2,857.0","2,765.0","2,804.0","138,900","-53.0"
"2018/07/27","2,904.0","2,934.0","2,750.0","2,750.0","294,300","-54.0"
"2018/07/30","2,783.0","2,870.0","2,725.0","2,829.0","163,100","+79.0"
"2018/07/31","2,790.0","2,938.0","2,787.0","2,930.0","221,700","+101.0"
"2018/08/01","2,915.0","2,940.0","2,824.0","2,833.0","137,400","-97.0"
"2018/08/02","2,883.0","2,883.0","2,770.0","2,810.0","89,300","-23.0"
"2018/08/03","2,789.0","2,878.0","2,769.0","2,775.0","69,000","-35.0"
"2018/08/06","2,764.0","2,834.0","2,761.0","2,792.0","70,700","+17.0"
