"日付","始値","高値","安値","終値","前日比"
"2019/01/04","19,655.13","19,692.58","19,241.37","19,561.96","-452.81"
"2019/01/07","19,944.61","20,266.22","19,920.80","20,038.97","+477.01"
"2019/01/08","20,224.67","20,347.92","20,106.36","20,204.04","+165.07"
"2019/01/09","20,366.30","20,494.35","20,331.20","20,427.06","+223.02"
"2019/01/10","20,270.88","20,345.92","20,101.93","20,163.80","-263.26"
"2019/01/11","20,296.45","20,389.89","20,294.74","20,359.70","+195.90"
"2019/01/15","20,264.82","20,571.28","20,204.43","20,555.29","+195.59"
"2019/01/16","20,575.72","20,580.25","20,323.32","20,442.75","-112.54"
"2019/01/17","20,544.23","20,571.75","20,342.46","20,402.27","-40.48"
"2019/01/18","20,472.81","20,682.12","20,454.13","20,666.07","+263.80"
"2019/01/21","20,848.38","20,892.68","20,678.26","20,719.33","+53.26"
"2019/01/22","20,770.06","20,805.93","20,558.30","20,622.91","-96.42"
"2019/01/23","20,453.44","20,686.29","20,438.22","20,593.72","-29.19"
"2019/01/24","20,506.24","20,620.72","20,467.59","20,574.63","-19.09"
"2019/01/25","20,598.64","20,844.31","20,598.64","20,773.56","+198.93"
"2019/01/28","20,746.29","20,759.48","20,624.55","20,649.00","-124.56"
"2019/01/29","20,555.44","20,673.66","20,406.22","20,664.64","+15.64"
"2019/01/30","20,701.62","20,706.27","20,527.53","20,556.54","-108.10"
"2019/01/31","20,832.91","20,869.42","20,682.91","20,773.49","+216.95"
"2019/02/01","20,797.03","20,929.63","20,741.98","20,788.39","+14.90"
"2019/02/04","20,831.90","20,922.58","20,823.68","20,883.77","+95.38"
"2019/02/05","20,960.47","20,981.23","20,823.18","20,844.45","-39.32"
"2019/02/06","20,928.87","20,971.66","20,860.99","20,874.06","+29.61"
"2019/02/07","20,812.22","20,844.77","20,665.51","20,751.28","-122.78"
"2019/02/08","20,510.50","20,562.39","20,315.31","20,333.17","-418.11"
"2019/02/12","20,442.55","20,885.88","20,428.57","20,864.21","+531.04"
"2019/02/13","21,029.93","21,213.74","20,992.88","21,144.48","+280.27"
"2019/02/14","21,147.89","21,235.62","21,102.16","21,139.71","-4.77"
"2019/02/15","21,051.51","21,051.51","20,853.33","20,900.63","-239.08"
"2019/02/18","21,217.32","21,306.36","21,189.97","21,281.85","+381.22"
"2019/02/19","21,256.58","21,344.17","21,217.16","21,302.65","+20.80"
"2019/02/20","21,346.04","21,494.85","21,315.39","21,431.49","+128.84"
"2019/02/21","21,422.31","21,553.35","21,318.74","21,464.23","+32.74"
"2019/02/22","21,376.36","21,451.23","21,348.67","21,425.51","-38.72"
"2019/02/25","21,567.66","21,590.03","21,505.07","21,528.23","+102.72"
"2019/02/26","21,556.02","21,610.88","21,405.84","21,449.39","-78.84"
"2019/02/27","21,504.61","21,578.81","21,492.65","21,556.51","+107.12"
"2019/02/28","21,536.55","21,536.55","21,364.09","21,385.16","-171.35"
"2019/03/01","21,490.02","21,641.58","21,490.02","21,602.69","+217.53"
"2019/03/04","21,812.81","21,860.39","21,740.92","21,822.04","+219.35"
"2019/03/05","21,712.80","21,798.38","21,659.04","21,726.28","-95.76"
"2019/03/06","21,659.03","21,684.60","21,550.45","21,596.81","-129.47"
"2019/03/07","21,456.88","21,472.16","21,402.12","21,456.01","-140.80"
"2019/03/08","21,339.17","21,359.32","20,993.07","21,025.56","-430.45"
"2019/03/11","21,062.75","21,145.94","20,938.00","21,125.09","+99.53"
"2019/03/12","21,361.61","21,568.48","21,348.81","21,503.69","+378.60"
"2019/03/13","21,425.77","21,474.17","21,198.99","21,290.24","-213.45"
"2019/03/14","21,474.58","21,522.75","21,287.02","21,287.02","-3.22"
"2019/03/15","21,376.73","21,521.68","21,374.85","21,450.85","+163.83"
"2019/03/18","21,576.36","21,612.67","21,500.32","21,584.50","+133.65"
"2019/03/19","21,558.43","21,585.55","21,425.79","21,566.85","-17.65"
"2019/03/20","21,548.65","21,614.17","21,499.16","21,608.92","+42.07"
"2019/03/22","21,713.26","21,713.26","21,542.03","21,627.34","+18.42"
"2019/03/25","21,267.41","21,275.43","20,911.57","20,977.11","-650.23"
"2019/03/26","21,174.34","21,460.99","21,174.34","21,428.39","+451.28"
"2019/03/27","21,353.61","21,388.59","21,242.52","21,378.73","-49.66"
"2019/03/28","21,191.32","21,191.32","20,974.19","21,033.76","-344.97"
"2019/03/29","21,228.51","21,267.25","21,149.42","21,205.81","+172.05"
"2019/04/01","21,500.89","21,682.94","21,471.12","21,509.03","+303.22"
"2019/04/02","21,744.64","21,744.64","21,490.56","21,505.31","-3.72"
"2019/04/03","21,563.64","21,722.72","21,489.95","21,713.21","+207.90"
"2019/04/04","21,724.69","21,787.60","21,662.90","21,724.95","+11.74"
"2019/04/05","21,743.14","21,839.18","21,731.34","21,807.50","+82.55"
"2019/04/08","21,900.55","21,900.55","21,740.53","21,761.65","-45.85"
"2019/04/09","21,750.29","21,811.88","21,698.42","21,802.59","+40.94"
"2019/04/10","21,579.68","21,687.57","21,571.67","21,687.57","-115.02"
"2019/04/11","21,662.65","21,721.42","21,627.87","21,711.38","+23.81"
"2019/04/12","21,782.35","21,878.78","21,698.71","21,870.56","+159.18"
"2019/04/15","22,122.97","22,211.03","22,102.93","22,169.11","+298.55"
"2019/04/16","22,108.15","22,261.33","22,095.32","22,221.66","+52.55"
"2019/04/17","22,236.41","22,345.19","22,185.87","22,277.97","+56.31"
"2019/04/18","22,274.13","22,305.63","22,058.39","22,090.12","-187.85"
"2019/04/19","22,238.07","22,250.37","22,162.23","22,200.56","+110.44"
"2019/04/22","22,188.62","22,280.19","22,099.38","22,217.90","+17.34"
"2019/04/23","22,241.74","22,268.37","22,119.94","22,259.74","+41.84"
"2019/04/24","22,356.83","22,362.92","22,125.48","22,200.00","-59.74"
"2019/04/25","22,183.32","22,334.69","22,155.23","22,307.58","+107.58"
"2019/04/26","22,167.48","22,270.29","22,073.10","22,258.73","-48.85"
"2019/05/07","22,184.40","22,190.49","21,875.11","21,923.72","-335.01"
"2019/05/08","21,628.04","21,639.12","21,514.85","21,602.59","-321.13"
"2019/05/09","21,492.91","21,559.76","21,315.07","21,402.13","-200.46"
"2019/05/10","21,431.81","21,584.09","21,175.33","21,344.92","-57.21"
"2019/05/13","21,180.74","21,277.66","21,127.93","21,191.28","-153.64"
"2019/05/14","20,870.77","21,077.48","20,751.45","21,067.23","-124.05"
"2019/05/15","21,112.85","21,191.53","20,968.08","21,188.56","+121.33"
"2019/05/16","21,153.20","21,153.20","20,951.67","21,062.98","-125.58"
"2019/05/17","21,246.86","21,398.85","21,199.98","21,250.09","+187.11"
"2019/05/20","21,305.97","21,430.06","21,282.65","21,301.73","+51.64"
"2019/05/21","21,211.26","21,318.80","21,160.43","21,272.45","-29.28"
"2019/05/22","21,373.52","21,404.54","21,266.98","21,283.37","+10.92"
"2019/05/23","21,180.24","21,209.56","21,072.72","21,151.14","-132.23"
"2019/05/24","20,980.79","21,117.22","20,922.00","21,117.22","-33.92"
"2019/05/27","21,148.46","21,232.38","21,113.76","21,182.58","+65.36"
"2019/05/28","21,187.17","21,297.70","21,177.27","21,260.14","+77.56"
"2019/05/29","21,055.42","21,071.73","20,884.61","21,003.37","-256.77"
"2019/05/30","20,881.50","20,942.53","20,809.29","20,942.53","-60.84"
"2019/05/31","20,785.21","20,823.10","20,581.58","20,601.19","-341.34"
"2019/06/03","20,327.87","20,438.03","20,305.74","20,410.88","-190.31"
"2019/06/04","20,435.86","20,464.57","20,289.64","20,408.54","-2.34"
"2019/06/05","20,667.89","20,800.64","20,646.15","20,776.10","+367.56"
"2019/06/06","20,745.84","20,842.28","20,745.84","20,774.04","-2.06"
"2019/06/07","20,859.78","20,907.77","20,816.58","20,884.71","+110.67"
"2019/06/10","21,095.40","21,166.12","21,077.95","21,134.42","+249.71"
"2019/06/11","21,099.54","21,227.18","21,066.62","21,204.28","+69.86"
"2019/06/12","21,130.39","21,259.70","21,118.75","21,129.72","-74.56"
"2019/06/13","21,040.91","21,111.23","20,932.13","21,032.00","-97.72"
"2019/06/14","21,049.41","21,119.73","20,971.18","21,116.89","+84.89"
"2019/06/17","21,094.96","21,185.25","21,044.62","21,124.00","+7.11"
"2019/06/18","21,111.77","21,153.65","20,924.19","20,972.71","-151.29"
"2019/06/19","21,223.17","21,358.72","21,213.43","21,333.87","+361.16"
"2019/06/20","21,417.74","21,491.39","21,377.27","21,462.86","+128.99"
"2019/06/21","21,487.67","21,497.82","21,221.70","21,258.64","-204.22"
"2019/06/24","21,223.56","21,317.86","21,185.67","21,285.99","+27.35"
"2019/06/25","21,238.07","21,313.77","21,114.47","21,193.81","-92.18"
"2019/06/26","21,067.68","21,129.64","21,035.84","21,086.59","-107.22"
"2019/06/27","21,156.88","21,338.17","21,123.97","21,338.17","+251.58"
"2019/06/28","21,282.22","21,324.93","21,199.85","21,275.92","-62.25"
"2019/07/01","21,566.27","21,758.34","21,559.17","21,729.97","+454.05"
"2019/07/02","21,699.43","21,784.22","21,697.31","21,754.27","+24.30"
"2019/07/03","21,684.07","21,708.72","21,566.65","21,638.16","-116.11"
"2019/07/04","21,740.93","21,755.63","21,672.50","21,702.45","+64.29"
"2019/07/05","21,703.61","21,746.38","21,647.73","21,746.38","+43.93"
"2019/07/08","21,665.79","21,672.65","21,499.57","21,534.35","-212.03"
"2019/07/09","21,598.15","21,687.29","21,508.22","21,565.15","+30.80"
"2019/07/10","21,499.46","21,601.86","21,488.22","21,533.48","-31.67"
"2019/07/11","21,547.19","21,649.93","21,532.57","21,643.53","+110.05"
"2019/07/12","21,720.14","21,720.14","21,589.83","21,685.90","+42.37"
"2019/07/16","21,644.38","21,655.52","21,514.89","21,535.25","-150.65"
"2019/07/17","21,474.63","21,488.27","21,380.55","21,469.18","-66.07"
"2019/07/18","21,336.80","21,347.84","20,993.44","21,046.24","-422.94"
"2019/07/19","21,146.50","21,474.30","21,121.90","21,466.99","+420.75"
"2019/07/22","21,394.75","21,445.03","21,317.85","21,416.79","-50.20"
"2019/07/23","21,425.44","21,686.53","21,411.93","21,620.88","+204.09"
"2019/07/24","21,726.98","21,744.88","21,677.71","21,709.57","+88.69"
"2019/07/25","21,715.95","21,823.07","21,715.69","21,756.55","+46.98"
"2019/07/26","21,700.20","21,709.74","21,590.66","21,658.15","-98.40"
"2019/07/29","21,627.55","21,652.95","21,518.70","21,616.80","-41.35"
"2019/07/30","21,681.82","21,792.98","21,665.86","21,709.31","+92.51"
"2019/07/31","21,526.38","21,589.11","21,476.07","21,521.53","-187.78"
"2019/08/01","21,361.58","21,556.69","21,288.90","21,540.99","+19.46"
"2019/08/02","21,211.06","21,211.06","20,960.09","21,087.16","-453.83"
"2019/08/05","20,909.98","20,941.83","20,514.19","20,720.29","-366.87"
"2019/08/06","20,325.52","20,607.83","20,110.76","20,585.31","-134.98"
"2019/08/07","20,548.07","20,570.19","20,406.52","20,516.56","-68.75"
"2019/08/08","20,529.29","20,682.24","20,462.98","20,593.35","+76.79"
"2019/08/09","20,758.15","20,782.06","20,676.92","20,684.82","+91.47"
"2019/08/13","20,432.68","20,503.38","20,369.27","20,455.44","-229.38"
"2019/08/14","20,669.99","20,697.42","20,581.17","20,655.13","+199.69"
"2019/08/15","20,324.25","20,419.88","20,184.85","20,405.65","-249.48"
"2019/08/16","20,323.97","20,465.71","20,300.35","20,418.81","+13.16"
"2019/08/19","20,590.47","20,633.90","20,502.66","20,563.16","+144.35"
"2019/08/20","20,605.35","20,684.06","20,582.01","20,677.22","+114.06"
"2019/08/21","20,489.97","20,626.05","20,482.62","20,618.57","-58.65"
"2019/08/22","20,706.07","20,731.19","20,584.29","20,628.01","+9.44"
"2019/08/23","20,579.98","20,719.31","20,579.98","20,710.91","+82.90"
"2019/08/26","20,325.44","20,329.01","20,173.76","20,261.04","-449.87"
"2019/08/27","20,467.22","20,529.94","20,439.92","20,456.08","+195.04"
"2019/08/28","20,474.31","20,511.21","20,433.31","20,479.42","+23.34"
"2019/08/29","20,500.50","20,520.68","20,361.12","20,460.93","-18.49"
"2019/08/30","20,641.49","20,748.35","20,633.30","20,704.37","+243.44"
"2019/09/02","20,625.75","20,667.56","20,614.29","20,620.19","-84.18"
"2019/09/03","20,581.58","20,662.23","20,578.02","20,625.16","+4.97"
"2019/09/04","20,578.67","20,694.35","20,554.16","20,649.14","+23.98"
"2019/09/05","20,800.29","21,164.61","20,787.93","21,085.94","+436.80"
"2019/09/06","21,201.83","21,241.29","21,145.81","21,199.57","+113.63"
"2019/09/09","21,214.56","21,333.51","21,182.26","21,318.42","+118.85"
"2019/09/10","21,363.57","21,438.35","21,350.35","21,392.10","+73.68"
"2019/09/11","21,466.66","21,619.21","21,437.82","21,597.76","+205.66"
"2019/09/12","21,761.09","21,825.92","21,743.96","21,759.61","+161.85"
"2019/09/13","21,907.83","22,019.66","21,820.94","21,988.29","+228.68"
"2019/09/17","21,947.59","22,041.08","21,878.63","22,001.32","+13.03"
"2019/09/18","22,014.65","22,027.86","21,942.03","21,960.71","-40.61"
"2019/09/19","22,064.46","22,255.56","22,003.30","22,044.45","+83.74"
"2019/09/20","22,130.74","22,204.75","22,047.90","22,079.09","+34.64"
"2019/09/24","22,095.35","22,168.74","22,077.94","22,098.84","+19.75"
"2019/09/25","21,961.82","22,036.48","21,906.00","22,020.15","-78.69"
"2019/09/26","22,160.52","22,184.91","21,986.24","22,048.24","+28.09"
"2019/09/27","21,934.93","21,955.79","21,733.69","21,878.90","-169.34"
"2019/09/30","21,793.83","21,811.98","21,666.60","21,755.84","-123.06"
"2019/10/01","21,831.44","21,938.77","21,811.98","21,885.24","+129.40"
"2019/10/02","21,744.62","21,795.01","21,725.23","21,778.61","-106.63"
"2019/10/03","21,422.22","21,437.74","21,277.36","21,341.74","-436.87"
