"日付","始値","高値","安値","終値","前日比"
"2016/01/04","18,818.58","18,951.12","18,394.43","18,450.98","-582.73"
"2016/01/05","18,398.76","18,547.38","18,327.52","18,374.00","-76.98"
"2016/01/06","18,410.57","18,469.38","18,064.30","18,191.32","-182.68"
"2016/01/07","18,139.77","18,172.04","17,767.34","17,767.34","-423.98"
"2016/01/08","17,562.23","17,975.31","17,509.64","17,697.96","-69.38"
"2016/01/12","17,470.93","17,546.57","17,184.78","17,218.96","-479.00"
"2016/01/13","17,449.12","17,717.75","17,414.55","17,715.63","+496.67"
"2016/01/14","17,384.93","17,393.83","16,944.41","17,240.95","-474.68"
"2016/01/15","17,522.46","17,597.87","17,057.60","17,147.11","-93.84"
"2016/01/18","16,826.93","17,037.26","16,665.05","16,955.57","-191.54"
"2016/01/19","16,902.29","17,088.31","16,812.65","17,048.37","+92.80"
"2016/01/20","17,030.28","17,031.32","16,387.61","16,416.19","-632.18"
"2016/01/21","16,466.86","16,734.58","16,017.26","16,017.26","-398.93"
"2016/01/22","16,336.72","16,993.96","16,332.45","16,958.53","+941.27"
"2016/01/25","17,145.81","17,208.24","16,922.21","17,110.91","+152.38"
"2016/01/26","16,833.13","16,839.52","16,652.26","16,708.90","-402.01"
"2016/01/27","16,949.19","17,242.27","16,947.95","17,163.92","+455.02"
"2016/01/28","17,059.84","17,235.44","16,942.13","17,041.45","-122.47"
"2016/01/29","17,155.06","17,638.93","16,767.09","17,518.30","+476.85"
"2016/02/01","17,699.60","17,905.37","17,666.48","17,865.23","+346.93"
"2016/02/02","17,716.52","17,864.70","17,684.66","17,750.68","-114.55"
"2016/02/03","17,497.41","17,515.68","17,080.57","17,191.25","-559.43"
"2016/02/04","17,071.11","17,209.56","16,941.88","17,044.99","-146.26"
"2016/02/05","16,790.53","16,893.12","16,627.80","16,819.59","-225.40"
"2016/02/08","16,620.91","17,099.01","16,552.30","17,004.30","+184.71"
"2016/02/09","16,666.79","16,668.70","16,025.94","16,085.44","-918.86"
"2016/02/10","16,127.86","16,163.03","15,429.99","15,713.39","-372.05"
"2016/02/12","15,426.27","15,437.22","14,865.77","14,952.61","-760.78"
"2016/02/15","15,248.38","16,155.10","15,243.88","16,022.58","+1,069.97"
"2016/02/16","15,849.47","16,341.56","15,809.58","16,054.43","+31.85"
"2016/02/17","16,035.35","16,214.46","15,632.12","15,836.36","-218.07"
"2016/02/18","16,138.08","16,337.59","16,118.80","16,196.80","+360.44"
"2016/02/19","16,050.40","16,050.46","15,799.35","15,967.17","-229.63"
"2016/02/22","15,851.39","16,187.40","15,816.83","16,111.05","+143.88"
"2016/02/23","16,230.38","16,350.38","16,001.19","16,052.05","-59.00"
"2016/02/24","15,851.13","16,006.45","15,753.77","15,915.79","-136.26"
"2016/02/25","15,983.47","16,218.29","15,953.93","16,140.34","+224.55"
"2016/02/26","16,311.52","16,472.50","16,188.41","16,188.41","+48.07"
"2016/02/29","16,313.31","16,464.75","16,026.76","16,026.76","-161.65"
"2016/03/01","16,013.00","16,099.42","15,857.37","16,085.51","+58.75"
"2016/03/02","16,391.48","16,815.25","16,388.92","16,746.55","+661.04"
"2016/03/03","16,695.78","16,962.95","16,691.94","16,960.16","+213.61"
"2016/03/04","16,927.36","17,042.92","16,861.38","17,014.78","+54.62"
"2016/03/07","17,024.64","17,026.25","16,894.58","16,911.32","-103.46"
"2016/03/08","16,889.48","16,909.79","16,570.22","16,783.15","-128.17"
"2016/03/09","16,625.59","16,706.25","16,494.80","16,642.20","-140.95"
"2016/03/10","16,811.00","16,887.60","16,713.13","16,852.35","+210.15"
"2016/03/11","16,610.18","17,015.30","16,575.75","16,938.87","+86.52"
"2016/03/14","17,155.52","17,291.35","17,149.21","17,233.75","+294.88"
"2016/03/15","17,219.89","17,279.30","17,042.56","17,117.07","-116.68"
"2016/03/16","16,981.36","17,102.45","16,950.84","16,974.45","-142.62"
"2016/03/17","17,107.60","17,253.03","16,814.84","16,936.38","-38.07"
"2016/03/18","16,883.75","16,920.91","16,613.69","16,724.81","-211.57"
"2016/03/22","16,937.31","17,107.80","16,851.21","17,048.55","+323.74"
"2016/03/23","17,066.27","17,142.08","16,964.31","17,000.98","-47.57"
"2016/03/24","16,979.39","17,041.16","16,843.99","16,892.33","-108.65"
"2016/03/25","16,949.53","17,026.14","16,889.40","17,002.75","+110.42"
"2016/03/28","17,129.27","17,167.88","16,961.41","17,134.37","+131.62"
"2016/03/29","16,985.28","17,137.20","16,948.43","17,103.53","-30.84"
"2016/03/30","17,078.03","17,078.03","16,875.91","16,878.96","-224.57"
"2016/03/31","16,997.14","17,033.65","16,758.67","16,758.67","-120.29"
"2016/04/01","16,719.56","16,719.56","16,113.01","16,164.16","-594.51"
"2016/04/04","16,087.76","16,238.51","16,029.50","16,123.27","-40.89"
"2016/04/05","16,044.23","16,066.18","15,698.55","15,732.82","-390.45"
"2016/04/06","15,727.70","15,828.61","15,612.91","15,715.36","-17.46"
"2016/04/07","15,739.26","15,871.10","15,636.21","15,749.84","+34.48"
"2016/04/08","15,597.04","16,027.63","15,471.80","15,821.52","+71.68"
"2016/04/11","15,761.57","15,778.74","15,525.49","15,751.13","-70.39"
"2016/04/12","15,719.24","15,963.03","15,693.61","15,928.79","+177.66"
"2016/04/13","16,142.71","16,405.59","16,132.23","16,381.22","+452.43"
"2016/04/14","16,629.83","16,911.05","16,602.17","16,911.05","+529.83"
"2016/04/15","16,720.39","16,928.67","16,720.39","16,848.03","-63.02"
"2016/04/18","16,521.25","16,526.90","16,254.20","16,275.95","-572.08"
"2016/04/19","16,582.66","16,900.33","16,570.50","16,874.44","+598.49"
"2016/04/20","17,053.83","17,099.36","16,870.73","16,906.54","+32.10"
"2016/04/21","17,187.27","17,381.70","17,144.53","17,363.62","+457.08"
"2016/04/22","17,220.47","17,572.49","17,192.39","17,572.49","+208.87"
"2016/04/25","17,613.56","17,613.56","17,403.87","17,439.30","-133.19"
"2016/04/26","17,358.56","17,426.02","17,200.50","17,353.28","-86.02"
"2016/04/27","17,369.68","17,417.54","17,230.23","17,290.49","-62.79"
