"日付","始値","高値","安値","終値","前日比"
"2012/01/04","8,549.54","8,581.45","8,547.70","8,560.11","+104.76"
"2012/01/05","8,515.66","8,519.16","8,481.83","8,488.71","-71.40"
"2012/01/06","8,488.98","8,488.98","8,349.33","8,390.35","-98.36"
"2012/01/10","8,422.99","8,450.59","8,405.18","8,422.26","+31.91"
"2012/01/11","8,440.96","8,463.72","8,426.03","8,447.88","+25.62"
"2012/01/12","8,423.10","8,426.83","8,360.33","8,385.59","-62.29"
"2012/01/13","8,471.10","8,509.76","8,458.68","8,500.02","+114.43"
"2012/01/16","8,409.79","8,409.79","8,352.23","8,378.36","-121.66"
"2012/01/17","8,420.12","8,475.66","8,413.22","8,466.40","+88.04"
"2012/01/18","8,458.29","8,595.78","8,446.09","8,550.58","+84.18"
"2012/01/19","8,596.68","8,668.94","8,596.68","8,639.68","+89.10"
"2012/01/20","8,751.18","8,791.39","8,725.32","8,766.36","+126.68"
"2012/01/23","8,753.91","8,795.27","8,744.54","8,765.90","-0.46"
"2012/01/24","8,815.36","8,825.09","8,768.51","8,785.33","+19.43"
"2012/01/25","8,842.01","8,911.62","8,816.09","8,883.69","+98.36"
"2012/01/26","8,890.49","8,894.60","8,834.93","8,849.47","-34.22"
"2012/01/27","8,851.02","8,886.02","8,810.89","8,841.22","-8.25"
"2012/01/30","8,803.79","8,832.48","8,774.23","8,793.05","-48.17"
"2012/01/31","8,781.44","8,836.68","8,776.65","8,802.51","+9.46"
"2012/02/01","8,789.06","8,830.28","8,780.10","8,809.79","+7.28"
"2012/02/02","8,865.28","8,893.22","8,849.25","8,876.82","+67.03"
"2012/02/03","8,849.17","8,877.57","8,825.98","8,831.93","-44.89"
"2012/02/06","8,939.99","8,949.32","8,916.94","8,929.20","+97.27"
"2012/02/07","8,904.16","8,928.44","8,887.19","8,917.52","-11.68"
"2012/02/08","8,971.88","9,015.59","8,956.78","9,015.59","+98.07"
"2012/02/09","8,996.13","9,018.49","8,942.87","9,002.24","-13.35"
