"日付","始値","高値","安値","終値","前日比"
"2011/01/04","10,352.19","10,409.17","10,321.28","10,398.10","+169.18"
"2011/01/05","10,387.95","10,413.45","10,358.01","10,380.77","-17.33"
"2011/01/06","10,477.52","10,530.11","10,477.52","10,529.76","+148.99"
"2011/01/07","10,506.72","10,550.71","10,503.02","10,541.04","+11.28"
"2011/01/11","10,484.62","10,538.39","10,476.29","10,510.68","-30.36"
"2011/01/12","10,562.28","10,576.51","10,502.96","10,512.80","+2.12"
"2011/01/13","10,593.46","10,620.57","10,565.28","10,589.76","+76.96"
"2011/01/14","10,502.77","10,579.97","10,497.26","10,499.04","-90.72"
"2011/01/17","10,562.09","10,562.39","10,482.69","10,502.86","+3.82"
"2011/01/18","10,461.04","10,548.21","10,456.71","10,518.98","+16.12"
"2011/01/19","10,567.88","10,580.68","10,534.02","10,557.10","+38.12"
"2011/01/20","10,492.32","10,505.63","10,421.83","10,437.31","-119.79"
"2011/01/21","10,459.04","10,461.07","10,257.99","10,274.52","-162.79"
"2011/01/24","10,318.60","10,347.94","10,278.81","10,345.11","+70.59"
"2011/01/25","10,374.64","10,480.24","10,355.80","10,464.42","+119.31"
"2011/01/26","10,410.29","10,440.35","10,392.46","10,401.90","-62.52"
"2011/01/27","10,466.34","10,496.40","10,421.75","10,478.66","+76.76"
"2011/01/28","10,460.29","10,480.08","10,332.65","10,360.34","-118.32"
"2011/01/31","10,219.98","10,265.96","10,182.57","10,237.92","-122.42"
"2011/02/01","10,281.55","10,299.38","10,245.75","10,274.50","+36.58"
"2011/02/02","10,368.48","10,479.75","10,366.96","10,457.36","+182.86"
"2011/02/03","10,424.68","10,450.46","10,409.84","10,431.36","-26.00"
"2011/02/04","10,526.39","10,580.36","10,524.13","10,543.52","+112.16"
"2011/02/07","10,641.30","10,644.21","10,572.72","10,592.04","+48.52"
"2011/02/08","10,645.03","10,648.80","10,623.70","10,635.98","+43.94"
"2011/02/09","10,686.72","10,701.92","10,599.50","10,617.83","-18.15"
"2011/02/10","10,574.80","10,631.94","10,570.62","10,605.65","-12.18"
"2011/02/14","10,689.65","10,725.54","10,674.44","10,725.54","+119.89"
"2011/02/15","10,738.81","10,760.99","10,712.49","10,746.67","+21.13"
"2011/02/16","10,758.86","10,842.31","10,752.61","10,808.29","+61.62"
"2011/02/17","10,882.91","10,891.60","10,820.48","10,836.64","+28.35"
"2011/02/18","10,829.15","10,862.43","10,810.12","10,842.80","+6.16"
"2011/02/21","10,820.78","10,859.39","10,789.41","10,857.53","+14.73"
"2011/02/22","10,745.52","10,761.22","10,639.78","10,664.70","-192.83"
"2011/02/23","10,588.82","10,666.72","10,569.93","10,579.10","-85.60"
"2011/02/24","10,533.20","10,542.70","10,428.38","10,452.71","-126.39"
"2011/02/25","10,475.78","10,532.21","10,454.46","10,526.76","+74.05"
"2011/02/28","10,504.54","10,628.76","10,448.83","10,624.09","+97.33"
"2011/03/01","10,676.24","10,754.03","10,672.91","10,754.03","+129.94"
"2011/03/02","10,609.28","10,629.50","10,492.38","10,492.38","-261.65"
"2011/03/03","10,529.77","10,593.34","10,522.40","10,586.02","+93.64"
"2011/03/04","10,730.91","10,768.43","10,664.37","10,693.66","+107.64"
"2011/03/07","10,626.97","10,626.97","10,472.51","10,505.02","-188.64"
"2011/03/08","10,513.08","10,565.10","10,509.23","10,525.19","+20.17"
"2011/03/09","10,607.23","10,662.07","10,563.82","10,589.50","+64.31"
"2011/03/10","10,544.13","10,549.17","10,410.10","10,434.38","-155.12"
"2011/03/11","10,298.64","10,378.55","10,254.43","10,254.43","-179.95"
"2011/03/14","10,044.17","10,049.92","9,578.65","9,620.49","-633.94"
"2011/03/15","9,441.66","9,441.66","8,227.63","8,605.15","-1,015.34"
"2011/03/16","8,767.20","9,168.51","8,763.95","9,093.72","+488.57"
"2011/03/17","8,913.35","9,093.61","8,639.56","8,962.67","-131.05"
"2011/03/18","9,083.95","9,275.60","9,073.25","9,206.75","+244.08"
"2011/03/22","9,403.05","9,625.03","9,395.85","9,608.32","+401.57"
"2011/03/23","9,590.38","9,592.40","9,387.95","9,449.47","-158.85"
"2011/03/24","9,479.77","9,509.85","9,418.71","9,435.01","-14.46"
"2011/03/25","9,565.49","9,569.71","9,469.37","9,536.13","+101.12"
"2011/03/28","9,541.76","9,541.76","9,405.20","9,478.53","-57.60"
"2011/03/29","9,348.60","9,502.23","9,317.38","9,459.08","-19.45"
"2011/03/30","9,489.51","9,708.79","9,479.03","9,708.79","+249.71"
"2011/03/31","9,765.28","9,765.81","9,658.64","9,755.10","+46.31"
"2011/04/01","9,757.28","9,822.06","9,698.60","9,708.39","-46.71"
"2011/04/04","9,773.91","9,808.60","9,718.89","9,718.89","+10.50"
"2011/04/05","9,732.26","9,732.26","9,566.05","9,615.55","-103.34"
"2011/04/06","9,668.11","9,671.46","9,562.16","9,584.37","-31.18"
"2011/04/07","9,652.65","9,687.18","9,578.47","9,590.93","+6.56"
"2011/04/08","9,586.17","9,804.28","9,536.68","9,768.08","+177.15"
"2011/04/11","9,731.32","9,775.60","9,700.75","9,719.70","-48.38"
"2011/04/12","9,603.50","9,603.64","9,513.27","9,555.26","-164.44"
"2011/04/13","9,516.50","9,655.83","9,516.50","9,641.18","+85.92"
"2011/04/14","9,579.79","9,676.97","9,553.75","9,653.92","+12.74"
"2011/04/15","9,646.22","9,651.96","9,577.96","9,591.52","-62.40"
"2011/04/18","9,593.41","9,608.92","9,539.03","9,556.65","-34.87"
"2011/04/19","9,448.65","9,478.87","9,405.19","9,441.03","-115.62"
"2011/04/20","9,536.79","9,631.00","9,519.36","9,606.82","+165.79"
"2011/04/21","9,686.27","9,725.12","9,643.92","9,685.77","+78.95"
"2011/04/22","9,623.00","9,732.63","9,611.38","9,682.21","-3.56"
"2011/04/25","9,705.90","9,748.40","9,657.24","9,671.96","-10.25"
"2011/04/26","9,627.43","9,627.43","9,536.51","9,558.69","-113.27"
"2011/04/27","9,631.53","9,728.03","9,630.37","9,691.84","+133.15"
"2011/04/28","9,749.36","9,849.74","9,712.58","9,849.74","+157.90"
"2011/05/02","9,964.39","10,017.47","9,936.27","10,004.20","+154.46"
"2011/05/06","9,851.15","9,876.10","9,782.66","9,859.20","-145.00"
"2011/05/09","9,881.67","9,897.88","9,776.74","9,794.38","-64.82"
"2011/05/10","9,804.27","9,853.13","9,755.93","9,818.76","+24.38"
"2011/05/11","9,912.48","9,929.04","9,842.67","9,864.26","+45.50"
"2011/05/12","9,770.71","9,836.71","9,716.65","9,716.65","-147.61"
"2011/05/13","9,751.45","9,751.45","9,552.93","9,648.77","-67.88"
"2011/05/16","9,571.13","9,598.33","9,552.86","9,558.30","-90.47"
"2011/05/17","9,513.50","9,593.13","9,502.39","9,567.02","+8.72"
"2011/05/18","9,602.88","9,693.60","9,590.40","9,662.08","+95.06"
"2011/05/19","9,711.32","9,731.12","9,600.81","9,620.82","-41.26"
