"日付","始値","高値","安値","終値","前日比"
"2014/01/06","16,147.54","16,164.01","15,864.44","15,908.88","-382.43"
"2014/01/07","15,835.41","15,935.37","15,784.25","15,814.37","-94.51"
"2014/01/08","15,943.68","16,121.45","15,906.57","16,121.45","+307.08"
"2014/01/09","16,002.88","16,004.56","15,838.44","15,880.33","-241.12"
"2014/01/10","15,785.15","15,922.14","15,754.70","15,912.06","+31.73"
"2014/01/14","15,657.20","15,661.71","15,383.69","15,422.40","-489.66"
"2014/01/15","15,649.07","15,808.73","15,636.57","15,808.73","+386.33"
"2014/01/16","15,845.15","15,941.08","15,710.14","15,747.20","-61.53"
"2014/01/17","15,695.46","15,783.37","15,621.80","15,734.46","-12.74"
"2014/01/20","15,724.14","15,727.26","15,574.23","15,641.68","-92.78"
"2014/01/21","15,710.89","15,894.68","15,705.84","15,795.96","+154.28"
"2014/01/22","15,749.01","15,870.53","15,631.41","15,820.96","+25.00"
"2014/01/23","15,900.63","15,958.58","15,690.45","15,695.89","-125.07"
"2014/01/24","15,473.57","15,485.02","15,288.32","15,391.56","-304.33"
"2014/01/27","15,091.45","15,109.68","14,933.55","15,005.73","-385.83"
"2014/01/28","15,038.64","15,088.12","14,952.83","14,980.16","-25.57"
"2014/01/29","15,164.34","15,383.91","15,159.92","15,383.91","+403.75"
"2014/01/30","15,112.70","15,112.70","14,853.83","15,007.06","-376.85"
"2014/01/31","15,132.23","15,143.88","14,764.57","14,914.53","-92.53"
"2014/02/03","14,788.56","14,846.93","14,615.05","14,619.13","-295.40"
"2014/02/04","14,353.33","14,355.92","14,008.47","14,008.47","-610.66"
"2014/02/05","14,213.10","14,245.06","13,995.86","14,180.38","+171.91"
"2014/02/06","14,233.42","14,308.07","14,155.12","14,155.12","-25.26"
"2014/02/07","14,387.11","14,471.95","14,356.59","14,462.41","+307.29"
"2014/02/10","14,647.83","14,725.92","14,568.30","14,718.34","+255.93"
"2014/02/12","14,821.73","14,874.79","14,769.04","14,800.06","+81.72"
"2014/02/13","14,785.84","14,787.62","14,488.32","14,534.74","-265.32"
"2014/02/14","14,538.20","14,678.71","14,243.17","14,313.03","-221.71"
"2014/02/17","14,343.73","14,427.95","14,214.60","14,393.11","+80.08"
"2014/02/18","14,514.47","14,900.24","14,469.49","14,843.24","+450.13"
"2014/02/19","14,729.48","14,805.66","14,679.19","14,766.53","-76.71"
"2014/02/20","14,701.14","14,731.48","14,428.73","14,449.18","-317.35"
"2014/02/21","14,618.61","14,888.81","14,618.61","14,865.67","+416.49"
"2014/02/24","14,803.64","14,982.53","14,658.14","14,837.68","-27.99"
"2014/02/25","15,002.51","15,094.54","14,957.49","15,051.60","+213.92"
"2014/02/26","14,896.49","15,084.53","14,896.49","14,970.97","-80.63"
"2014/02/27","14,939.87","15,015.01","14,844.37","14,923.11","-47.86"
"2014/02/28","14,929.55","14,943.65","14,735.52","14,841.07","-82.04"
"2014/03/03","14,666.93","14,684.70","14,443.10","14,652.23","-188.84"
"2014/03/04","14,553.95","14,750.09","14,546.34","14,721.48","+69.25"
"2014/03/05","14,905.95","14,992.19","14,897.63","14,897.63","+176.15"
"2014/03/06","14,933.76","15,203.12","14,871.56","15,134.75","+237.12"
"2014/03/07","15,280.76","15,312.60","15,145.59","15,274.07","+139.32"
"2014/03/10","15,197.53","15,266.12","15,088.11","15,120.14","-153.93"
"2014/03/11","15,179.47","15,256.03","15,124.36","15,224.11","+103.97"
"2014/03/12","15,003.80","15,020.14","14,828.18","14,830.39","-393.72"
"2014/03/13","14,847.72","14,919.84","14,790.48","14,815.98","-14.41"
"2014/03/14","14,526.28","14,539.60","14,280.75","14,327.66","-488.32"
"2014/03/17","14,254.32","14,359.16","14,203.21","14,277.67","-49.99"
"2014/03/18","14,491.41","14,533.25","14,399.72","14,411.27","+133.60"
"2014/03/19","14,495.73","14,663.54","14,302.37","14,462.52","+51.25"
"2014/03/20","14,548.76","14,548.76","14,207.83","14,224.23","-238.29"
"2014/03/24","14,297.58","14,514.28","14,287.28","14,475.30","+251.07"
"2014/03/25","14,401.69","14,531.79","14,312.08","14,423.19","-52.11"
"2014/03/26","14,521.00","14,569.90","14,401.42","14,477.16","+53.97"
"2014/03/27","14,305.67","14,659.85","14,227.81","14,622.89","+145.73"
"2014/03/28","14,576.25","14,713.45","14,520.57","14,696.03","+73.14"
"2014/03/31","14,839.54","14,843.67","14,718.01","14,827.83","+131.80"
"2014/04/01","14,870.51","14,870.51","14,751.29","14,791.99","-35.84"
"2014/04/02","14,897.88","15,069.61","14,893.17","14,946.32","+154.33"
"2014/04/03","15,009.18","15,164.39","14,976.36","15,071.88","+125.56"
"2014/04/04","15,005.54","15,098.38","15,000.69","15,063.77","-8.11"
"2014/04/07","14,880.82","14,895.58","14,764.37","14,808.85","-254.92"
"2014/04/08","14,715.80","14,740.10","14,605.31","14,606.88","-201.97"
"2014/04/09","14,436.05","14,502.02","14,279.34","14,299.69","-307.19"
"2014/04/10","14,484.54","14,513.14","14,234.45","14,300.12","+0.43"
"2014/04/11","14,027.80","14,065.97","13,885.11","13,960.05","-340.07"
"2014/04/14","13,887.23","14,008.29","13,885.22","13,910.16","-49.89"
"2014/04/15","14,068.75","14,096.86","13,969.17","13,996.81","+86.65"
"2014/04/16","14,126.87","14,420.30","14,125.59","14,417.68","+420.87"
"2014/04/17","14,395.95","14,500.66","14,351.85","14,417.53","-0.15"
"2014/04/18","14,489.37","14,536.67","14,442.74","14,516.27","+98.74"
"2014/04/21","14,549.45","14,649.50","14,503.17","14,512.38","-3.89"
"2014/04/22","14,586.29","14,604.30","14,388.77","14,388.77","-123.61"
"2014/04/23","14,480.41","14,546.27","14,459.29","14,546.27","+157.50"
"2014/04/24","14,563.25","14,563.25","14,367.13","14,404.99","-141.28"
"2014/04/25","14,369.72","14,554.32","14,327.60","14,429.26","+24.27"
"2014/04/28","14,289.82","14,324.03","14,224.47","14,288.23","-141.03"
"2014/04/30","14,393.51","14,421.22","14,275.69","14,304.11","+15.88"
"2014/05/01","14,341.09","14,493.03","14,341.09","14,485.13","+181.02"
"2014/05/02","14,454.44","14,473.75","14,405.77","14,457.51","-27.62"
"2014/05/07","14,296.25","14,299.13","14,033.45","14,033.45","-424.06"
"2014/05/08","14,136.41","14,254.44","14,108.16","14,163.78","+130.33"
"2014/05/09","14,101.98","14,266.29","14,091.20","14,199.59","+35.81"
"2014/05/12","14,173.49","14,234.49","14,130.30","14,149.52","-50.07"
"2014/05/13","14,367.94","14,464.01","14,359.74","14,425.44","+275.92"
"2014/05/14","14,385.60","14,419.65","14,349.87","14,405.76","-19.68"
"2014/05/15","14,280.51","14,306.36","14,190.27","14,298.21","-107.55"
"2014/05/16","14,087.76","14,108.44","14,016.49","14,096.59","-201.62"
"2014/05/19","14,130.09","14,150.50","13,991.80","14,006.44","-90.15"
"2014/05/20","14,088.45","14,144.04","14,038.06","14,075.25","+68.81"
"2014/05/21","13,969.71","14,054.24","13,964.43","14,042.17","-33.08"
"2014/05/22","14,188.28","14,369.02","14,147.55","14,337.79","+295.62"
"2014/05/23","14,411.10","14,528.04","14,404.80","14,462.17","+124.38"
"2014/05/26","14,592.60","14,602.52","14,531.32","14,602.52","+140.35"
"2014/05/27","14,589.79","14,744.16","14,588.68","14,636.52","+34.00"
"2014/05/28","14,646.93","14,717.29","14,608.54","14,670.95","+34.43"
"2014/05/29","14,585.64","14,714.95","14,574.02","14,681.72","+10.77"
"2014/05/30","14,707.66","14,741.10","14,591.62","14,632.38","-49.34"
"2014/06/02","14,777.51","14,963.91","14,777.51","14,935.92","+303.54"
"2014/06/03","15,089.04","15,091.49","15,026.01","15,034.25","+98.33"
"2014/06/04","15,067.41","15,071.78","14,985.21","15,067.96","+33.71"
"2014/06/05","15,112.59","15,141.14","15,016.81","15,079.37","+11.41"
"2014/06/06","15,138.75","15,144.34","15,042.59","15,077.24","-2.13"
"2014/06/09","15,204.31","15,206.57","15,116.03","15,124.00","+46.76"
"2014/06/10","15,130.74","15,184.77","14,966.80","14,994.80","-129.20"
"2014/06/11","15,000.13","15,075.72","14,998.63","15,069.48","+74.68"
"2014/06/12","14,942.15","14,992.96","14,862.08","14,973.53","-95.95"
"2014/06/13","14,830.99","15,121.64","14,830.99","15,097.84","+124.31"
"2014/06/16","15,049.61","15,056.75","14,867.15","14,933.29","-164.55"
"2014/06/17","14,962.99","15,026.96","14,948.54","14,975.97","+42.68"
"2014/06/18","15,009.89","15,139.99","14,995.45","15,115.80","+139.83"
"2014/06/19","15,140.35","15,375.38","15,138.28","15,361.16","+245.36"
"2014/06/20","15,359.60","15,422.06","15,305.43","15,349.42","-11.74"
"2014/06/23","15,419.47","15,442.67","15,335.88","15,369.28","+19.86"
"2014/06/24","15,300.50","15,424.57","15,252.27","15,376.24","+6.96"
"2014/06/25","15,297.24","15,347.88","15,265.71","15,266.61","-109.63"
"2014/06/26","15,320.13","15,345.12","15,278.22","15,308.49","+41.88"
"2014/06/27","15,290.75","15,293.82","15,027.31","15,095.00","-213.49"
"2014/06/30","15,159.45","15,177.87","15,052.34","15,162.10","+67.10"
"2014/07/01","15,179.64","15,389.08","15,145.87","15,326.20","+164.10"
"2014/07/02","15,406.23","15,444.63","15,354.91","15,369.97","+43.77"
"2014/07/03","15,435.34","15,435.34","15,324.32","15,348.29","-21.68"
"2014/07/04","15,490.37","15,490.37","15,420.07","15,437.13","+88.84"
"2014/07/07","15,433.49","15,477.77","15,379.44","15,379.44","-57.69"
"2014/07/08","15,304.27","15,389.89","15,225.11","15,314.41","-65.03"
"2014/07/09","15,194.32","15,302.65","15,185.32","15,302.65","-11.76"
"2014/07/10","15,318.30","15,326.78","15,215.43","15,216.47","-86.18"
"2014/07/11","15,102.59","15,204.01","15,101.49","15,164.04","-52.43"
"2014/07/14","15,199.18","15,324.95","15,179.49","15,296.82","+132.78"
"2014/07/15","15,354.43","15,441.54","15,346.09","15,395.16","+98.34"
"2014/07/16","15,369.66","15,423.96","15,355.00","15,379.30","-15.86"
"2014/07/17","15,422.87","15,465.74","15,347.85","15,370.26","-9.04"
"2014/07/18","15,174.08","15,220.50","15,110.45","15,215.71","-154.55"
"2014/07/22","15,296.42","15,392.02","15,287.93","15,343.28","+127.57"
"2014/07/23","15,367.16","15,376.20","15,317.37","15,328.56","-14.72"
"2014/07/24","15,350.28","15,383.11","15,232.14","15,284.42","-44.14"
"2014/07/25","15,342.46","15,457.87","15,341.69","15,457.87","+173.45"
"2014/07/28","15,426.98","15,556.62","15,426.98","15,529.40","+71.53"
"2014/07/29","15,564.79","15,632.70","15,556.02","15,618.07","+88.67"
"2014/07/30","15,616.89","15,666.62","15,594.89","15,646.23","+28.16"
"2014/07/31","15,732.78","15,759.66","15,618.85","15,620.77","-25.46"
"2014/08/01","15,511.54","15,602.13","15,501.15","15,523.11","-97.66"
"2014/08/04","15,474.65","15,535.62","15,440.21","15,474.50","-48.61"
"2014/08/05","15,506.87","15,507.32","15,313.84","15,320.31","-154.19"
"2014/08/06","15,260.00","15,271.14","15,121.43","15,159.79","-160.52"
"2014/08/07","15,138.72","15,243.06","15,061.99","15,232.37","+72.58"
"2014/08/08","15,063.73","15,074.32","14,753.84","14,778.37","-454.00"
"2014/08/11","15,022.64","15,161.54","14,973.71","15,130.52","+352.15"
"2014/08/12","15,164.73","15,235.98","15,125.93","15,161.31","+30.79"
"2014/08/13","15,111.76","15,235.90","15,108.53","15,213.63","+52.32"
"2014/08/14","15,284.38","15,338.85","15,272.90","15,314.57","+100.94"
"2014/08/15","15,317.15","15,328.34","15,276.99","15,318.34","+3.77"
"2014/08/18","15,318.50","15,365.35","15,303.39","15,322.60","+4.26"
"2014/08/19","15,451.94","15,476.05","15,429.11","15,449.79","+127.19"
"2014/08/20","15,485.93","15,492.88","15,433.72","15,454.45","+4.66"
"2014/08/21","15,530.98","15,601.99","15,525.78","15,586.20","+131.75"
"2014/08/22","15,618.05","15,628.78","15,524.43","15,539.19","-47.01"
"2014/08/25","15,609.43","15,628.61","15,553.51","15,613.25","+74.06"
"2014/08/26","15,609.64","15,613.34","15,519.42","15,521.22","-92.03"
"2014/08/27","15,556.56","15,588.22","15,465.99","15,534.82","+13.60"
"2014/08/28","15,482.27","15,487.99","15,423.90","15,459.86","-74.96"
"2014/08/29","15,423.88","15,447.81","15,356.00","15,424.59","-35.27"
"2014/09/01","15,454.59","15,478.77","15,440.99","15,476.60","+52.01"
"2014/09/02","15,526.94","15,737.36","15,516.50","15,668.60","+192.00"
"2014/09/03","15,797.79","15,829.38","15,723.54","15,728.35","+59.75"
"2014/09/04","15,701.61","15,732.76","15,663.59","15,676.18","-52.17"
"2014/09/05","15,792.64","15,792.64","15,641.37","15,668.68","-7.50"
"2014/09/08","15,718.13","15,730.33","15,656.40","15,705.11","+36.43"
"2014/09/09","15,795.82","15,795.82","15,736.13","15,749.15","+44.04"
"2014/09/10","15,688.55","15,795.60","15,664.79","15,788.78","+39.63"
"2014/09/11","15,880.91","15,925.51","15,854.30","15,909.20","+120.42"
"2014/09/12","15,885.04","15,984.90","15,885.04","15,948.29","+39.09"
"2014/09/16","15,896.06","15,938.31","15,871.12","15,911.53","-36.76"
"2014/09/17","15,948.15","15,969.41","15,888.67","15,888.67","-22.86"
"2014/09/18","16,036.47","16,106.11","16,003.46","16,067.57","+178.90"
"2014/09/19","16,177.94","16,364.08","16,170.86","16,321.17","+253.60"
"2014/09/22","16,281.36","16,299.13","16,170.11","16,205.90","-115.27"
"2014/09/24","16,105.56","16,203.94","16,094.59","16,167.45","-38.45"
"2014/09/25","16,327.19","16,374.14","16,303.91","16,374.14","+206.69"
"2014/09/26","16,087.95","16,251.67","16,087.95","16,229.86","-144.28"
"2014/09/29","16,339.03","16,344.32","16,262.00","16,310.64","+80.78"
"2014/09/30","16,252.72","16,252.72","16,058.72","16,173.52","-137.12"
"2014/10/01","16,173.39","16,225.96","16,081.01","16,082.25","-91.27"
"2014/10/02","15,895.20","15,922.51","15,646.40","15,661.99","-420.26"
"2014/10/03","15,616.48","15,708.65","15,559.07","15,708.65","+46.66"
"2014/10/06","15,882.28","15,970.65","15,808.22","15,890.95","+182.30"
"2014/10/07","15,841.17","15,913.52","15,755.57","15,783.83","-107.12"
"2014/10/08","15,574.60","15,643.63","15,520.81","15,595.98","-187.85"
"2014/10/09","15,681.53","15,732.32","15,461.09","15,478.93","-117.05"
"2014/10/10","15,292.88","15,345.78","15,221.83","15,300.55","-178.38"
"2014/10/14","15,036.87","15,089.90","14,919.71","14,936.51","-364.04"
"2014/10/15","15,009.75","15,084.61","14,916.65","15,073.52","+137.01"
"2014/10/16","14,805.16","14,807.08","14,672.55","14,738.38","-335.14"
"2014/10/17","14,796.32","14,830.67","14,529.03","14,532.51","-205.87"
"2014/10/20","14,822.84","15,111.23","14,819.69","15,111.23","+578.72"
"2014/10/21","15,115.29","15,115.29","14,761.84","14,804.28","-306.95"
"2014/10/22","15,038.19","15,195.78","15,001.43","15,195.77","+391.49"
"2014/10/23","15,093.78","15,232.51","15,059.64","15,138.96","-56.81"
"2014/10/24","15,354.35","15,377.05","15,232.00","15,291.64","+152.68"
"2014/10/27","15,404.28","15,424.05","15,333.71","15,388.72","+97.08"
"2014/10/28","15,363.28","15,374.46","15,263.36","15,329.91","-58.81"
"2014/10/29","15,442.39","15,595.29","15,394.79","15,553.91","+224.00"
"2014/10/30","15,596.50","15,701.04","15,584.83","15,658.20","+104.29"
"2014/10/31","15,817.14","16,533.91","15,817.14","16,413.76","+755.56"
"2014/11/04","16,732.85","17,127.66","16,720.99","16,862.47","+448.71"
"2014/11/05","16,785.44","16,995.02","16,778.28","16,937.32","+74.85"
"2014/11/06","16,993.46","17,045.94","16,725.45","16,792.48","-144.84"
"2014/11/07","16,934.04","16,938.20","16,824.08","16,880.38","+87.90"
"2014/11/10","16,758.27","16,818.05","16,713.37","16,780.53","-99.85"
"2014/11/11","16,869.49","17,160.12","16,855.30","17,124.11","+343.58"
"2014/11/12","17,253.12","17,443.74","17,170.00","17,197.05","+72.94"
"2014/11/13","17,192.00","17,400.77","17,099.95","17,392.79","+195.74"
"2014/11/14","17,520.54","17,520.54","17,300.19","17,490.83","+98.04"
"2014/11/17","17,381.38","17,409.32","16,907.43","16,973.80","-517.03"
"2014/11/18","17,188.84","17,356.76","17,186.50","17,344.06","+370.26"
"2014/11/19","17,384.31","17,472.57","17,280.76","17,288.75","-55.31"
"2014/11/20","17,407.69","17,407.69","17,270.70","17,300.86","+12.11"
"2014/11/21","17,285.72","17,381.59","17,108.20","17,357.51","+56.65"
"2014/11/25","17,490.39","17,490.39","17,372.71","17,407.62","+50.11"
"2014/11/26","17,347.97","17,432.57","17,335.99","17,383.58","-24.04"
"2014/11/27","17,310.49","17,346.85","17,212.48","17,248.50","-135.08"
"2014/11/28","17,340.16","17,471.90","17,330.84","17,459.85","+211.35"
"2014/12/01","17,475.10","17,649.02","17,474.27","17,590.10","+130.25"
"2014/12/02","17,481.06","17,687.70","17,476.42","17,663.22","+73.12"
"2014/12/03","17,772.15","17,881.76","17,696.36","17,720.43","+57.21"
"2014/12/04","17,881.91","17,912.59","17,813.01","17,887.21","+166.78"
"2014/12/05","17,821.85","17,922.29","17,759.36","17,920.45","+33.24"
