"日付","始値","高値","安値","終値","前日比"
"2010/01/04","10,609.34","10,694.49","10,608.14","10,654.79","+108.35"
"2010/01/05","10,719.44","10,791.04","10,655.57","10,681.83","+27.04"
"2010/01/06","10,709.55","10,768.61","10,661.17","10,731.45","+49.62"
"2010/01/07","10,742.75","10,774.00","10,636.67","10,681.66","-49.79"
"2010/01/08","10,743.30","10,816.45","10,677.56","10,798.32","+116.66"
"2010/01/12","10,770.35","10,905.39","10,763.68","10,879.14","+80.82"
"2010/01/13","10,795.48","10,866.62","10,729.86","10,735.03","-144.11"
"2010/01/14","10,778.07","10,909.94","10,774.25","10,907.68","+172.65"
"2010/01/15","10,917.41","10,982.10","10,878.83","10,982.10","+74.42"
"2010/01/18","10,887.61","10,895.10","10,781.03","10,855.08","-127.02"
"2010/01/19","10,866.83","10,866.83","10,749.47","10,764.90","-90.18"
"2010/01/20","10,834.91","10,860.93","10,724.57","10,737.52","-27.38"
"2010/01/21","10,704.79","10,886.64","10,649.84","10,868.41","+130.89"
"2010/01/22","10,740.21","10,768.07","10,528.33","10,590.55","-277.86"
"2010/01/25","10,478.31","10,557.64","10,414.58","10,512.69","-77.86"
"2010/01/26","10,506.15","10,566.49","10,324.98","10,325.28","-187.41"
"2010/01/27","10,344.07","10,373.82","10,252.08","10,252.08","-73.20"
"2010/01/28","10,309.73","10,462.70","10,296.98","10,414.29","+162.21"
"2010/01/29","10,308.05","10,324.37","10,198.04","10,198.04","-216.25"
"2010/02/01","10,212.36","10,224.83","10,129.91","10,205.02","+6.98"
"2010/02/02","10,310.98","10,396.48","10,287.74","10,371.09","+166.07"
"2010/02/03","10,428.12","10,436.52","10,356.03","10,404.33","+33.24"
"2010/02/04","10,434.52","10,438.41","10,279.57","10,355.98","-48.35"
"2010/02/05","10,162.34","10,166.30","10,036.33","10,057.09","-298.89"
"2010/02/08","10,007.47","10,063.53","9,942.05","9,951.82","-105.27"
"2010/02/09","9,876.61","9,956.79","9,867.39","9,932.90","-18.92"
"2010/02/10","10,024.26","10,049.87","9,963.99","9,963.99","+31.09"
"2010/02/12","10,085.35","10,099.46","10,014.50","10,092.19","+128.20"
"2010/02/15","10,097.82","10,119.47","10,012.53","10,013.30","-78.89"
"2010/02/16","10,044.53","10,062.27","10,019.43","10,034.25","+20.95"
"2010/02/17","10,161.72","10,306.83","10,150.24","10,306.83","+272.58"
"2010/02/18","10,324.98","10,340.38","10,285.05","10,335.69","+28.86"
"2010/02/19","10,334.40","10,354.42","10,123.58","10,123.58","-212.11"
"2010/02/22","10,302.07","10,449.75","10,298.15","10,400.47","+276.89"
"2010/02/23","10,327.64","10,375.55","10,280.33","10,352.10","-48.37"
"2010/02/24","10,205.15","10,243.20","10,129.65","10,198.83","-153.27"
"2010/02/25","10,256.10","10,267.43","10,087.21","10,101.96","-96.87"
"2010/02/26","10,107.08","10,171.22","10,085.13","10,126.03","+24.07"
"2010/03/01","10,128.73","10,215.15","10,116.86","10,172.06","+46.03"
"2010/03/02","10,199.19","10,238.96","10,150.30","10,221.84","+49.78"
"2010/03/03","10,193.95","10,274.09","10,186.68","10,253.14","+31.30"
"2010/03/04","10,255.69","10,263.48","10,134.37","10,145.72","-107.42"
"2010/03/05","10,254.61","10,376.41","10,254.61","10,368.96","+223.24"
"2010/03/08","10,538.12","10,586.97","10,514.28","10,585.92","+216.96"
"2010/03/09","10,567.32","10,593.27","10,542.81","10,567.65","-18.27"
"2010/03/10","10,555.85","10,588.69","10,547.34","10,563.92","-3.73"
"2010/03/11","10,627.99","10,664.95","10,588.86","10,664.95","+101.03"
"2010/03/12","10,777.49","10,777.49","10,699.30","10,751.26","+86.31"
"2010/03/15","10,802.11","10,808.84","10,708.97","10,751.98","+0.72"
"2010/03/16","10,718.63","10,776.52","10,716.20","10,721.71","-30.27"
"2010/03/17","10,789.24","10,864.30","10,761.89","10,846.98","+125.27"
"2010/03/18","10,841.71","10,845.73","10,731.66","10,744.03","-102.95"
"2010/03/19","10,785.88","10,826.76","10,775.57","10,824.72","+80.69"
"2010/03/23","10,793.05","10,817.78","10,766.65","10,774.15","-50.57"
"2010/03/24","10,829.36","10,880.62","10,769.18","10,815.03","+40.88"
"2010/03/25","10,857.81","10,872.45","10,808.71","10,828.85","+13.82"
"2010/03/26","10,895.29","11,001.59","10,889.33","10,996.37","+167.52"
"2010/03/29","10,909.98","10,990.75","10,901.20","10,986.47","-9.90"
"2010/03/30","11,022.20","11,108.82","11,003.35","11,097.14","+110.67"
"2010/03/31","11,138.72","11,147.62","11,085.55","11,089.94","-7.20"
"2010/04/01","11,178.92","11,272.73","11,118.18","11,244.40","+154.46"
"2010/04/02","11,274.18","11,313.98","11,235.98","11,286.09","+41.69"
"2010/04/05","11,380.63","11,408.17","11,306.62","11,339.30","+53.21"
"2010/04/06","11,350.70","11,358.45","11,217.25","11,282.32","-56.98"
"2010/04/07","11,296.31","11,350.57","11,260.42","11,292.83","+10.51"
"2010/04/08","11,179.67","11,232.36","11,159.45","11,168.20","-124.63"
"2010/04/09","11,174.62","11,204.87","11,148.80","11,204.34","+36.14"
"2010/04/12","11,300.79","11,351.55","11,248.57","11,251.90","+47.56"
"2010/04/13","11,202.92","11,212.65","11,088.48","11,161.23","-90.67"
"2010/04/14","11,213.46","11,270.20","11,161.01","11,204.90","+43.67"
"2010/04/15","11,310.07","11,316.66","11,255.80","11,273.79","+68.89"
"2010/04/16","11,230.53","11,230.53","11,084.72","11,102.18","-171.61"
"2010/04/19","10,929.64","10,953.90","10,878.99","10,908.77","-193.41"
"2010/04/20","10,960.11","10,999.57","10,890.82","10,900.68","-8.09"
"2010/04/21","11,031.79","11,093.30","11,023.88","11,090.05","+189.37"
"2010/04/22","10,988.01","10,989.62","10,866.23","10,949.09","-140.96"
"2010/04/23","10,930.90","10,967.12","10,865.92","10,914.46","-34.63"
"2010/04/26","11,039.59","11,165.79","11,035.66","11,165.79","+251.33"
"2010/04/27","11,109.26","11,213.45","11,108.72","11,212.66","+46.87"
"2010/04/28","11,005.51","11,008.88","10,882.40","10,924.79","-287.87"
"2010/04/30","11,062.12","11,092.52","11,035.27","11,057.40","+132.61"
"2010/05/06","10,847.90","10,847.90","10,682.61","10,695.69","-361.71"
"2010/05/07","10,472.70","10,472.77","10,257.32","10,364.59","-331.10"
"2010/05/10","10,399.05","10,540.52","10,362.34","10,530.70","+166.11"
"2010/05/11","10,643.24","10,643.28","10,392.47","10,411.10","-119.60"
"2010/05/12","10,465.03","10,501.72","10,345.19","10,394.03","-17.07"
"2010/05/13","10,542.77","10,638.23","10,535.94","10,620.55","+226.52"
"2010/05/14","10,453.40","10,551.69","10,390.77","10,462.51","-158.04"
"2010/05/17","10,329.37","10,331.87","10,158.30","10,235.76","-226.75"
"2010/05/18","10,313.14","10,336.53","10,197.74","10,242.64","+6.88"
"2010/05/19","10,087.33","10,186.84","10,041.93","10,186.84","-55.80"
"2010/05/20","10,121.85","10,161.70","9,999.59","10,030.31","-156.53"
"2010/05/21","9,823.84","9,829.36","9,696.63","9,784.54","-245.77"
"2010/05/24","9,754.99","9,793.46","9,693.07","9,758.40","-26.14"
"2010/05/25","9,632.14","9,642.60","9,432.09","9,459.89","-298.51"
"2010/05/26","9,567.35","9,622.40","9,477.45","9,522.66","+62.77"
"2010/05/27","9,419.30","9,642.16","9,395.29","9,639.72","+117.06"
"2010/05/28","9,806.06","9,824.85","9,699.14","9,762.98","+123.26"
"2010/05/31","9,735.47","9,831.73","9,728.42","9,768.70","+5.72"
"2010/06/01","9,747.26","9,747.26","9,658.44","9,711.83","-56.87"
"2010/06/02","9,604.45","9,763.41","9,560.16","9,603.24","-108.59"
"2010/06/03","9,758.82","9,920.18","9,758.82","9,914.19","+310.95"
"2010/06/04","9,909.24","9,962.42","9,868.09","9,901.19","-13.00"
"2010/06/07","9,705.36","9,714.42","9,502.62","9,520.80","-380.39"
"2010/06/08","9,448.79","9,587.65","9,434.81","9,537.94","+17.14"
"2010/06/09","9,475.57","9,487.91","9,378.23","9,439.13","-98.81"
"2010/06/10","9,476.78","9,544.04","9,437.47","9,542.65","+103.52"
"2010/06/11","9,701.32","9,764.73","9,673.60","9,705.25","+162.60"
"2010/06/14","9,824.93","9,882.05","9,819.95","9,879.85","+174.60"
"2010/06/15","9,845.65","9,911.73","9,826.44","9,887.89","+8.04"
"2010/06/16","10,043.10","10,109.86","10,033.24","10,067.15","+179.26"
"2010/06/17","10,009.25","10,053.45","9,989.21","9,999.40","-67.75"
"2010/06/18","10,027.98","10,029.11","9,965.16","9,995.02","-4.38"
"2010/06/21","10,109.27","10,251.90","10,109.27","10,238.01","+242.99"
"2010/06/22","10,131.91","10,183.89","10,105.48","10,112.89","-125.12"
"2010/06/23","9,973.00","9,975.01","9,912.80","9,923.70","-189.19"
"2010/06/24","9,902.62","10,009.37","9,893.75","9,928.34","+4.64"
"2010/06/25","9,778.70","9,794.98","9,697.87","9,737.48","-190.86"
"2010/06/28","9,758.91","9,762.23","9,679.17","9,693.94","-43.54"
"2010/06/29","9,718.40","9,760.02","9,548.98","9,570.67","-123.27"
"2010/06/30","9,396.45","9,420.14","9,347.07","9,382.64","-188.03"
"2010/07/01","9,296.86","9,297.45","9,147.68","9,191.60","-191.04"
"2010/07/02","9,234.56","9,259.14","9,160.47","9,203.71","+12.11"
"2010/07/05","9,230.00","9,282.90","9,213.79","9,266.78","+63.07"
"2010/07/06","9,158.28","9,351.11","9,091.70","9,338.04","+71.26"
"2010/07/07","9,322.56","9,329.64","9,223.80","9,279.65","-58.39"
"2010/07/08","9,462.82","9,545.99","9,456.19","9,535.74","+256.09"
"2010/07/09","9,601.62","9,610.59","9,516.97","9,585.32","+49.58"
"2010/07/12","9,540.47","9,632.89","9,533.56","9,548.11","-37.21"
"2010/07/13","9,592.87","9,629.98","9,502.24","9,537.23","-10.88"
"2010/07/14","9,707.50","9,807.36","9,693.33","9,795.24","+258.01"
